"ACTION","REWARD","A0","A1","A2","A3","V"
"2","-2.3394546014546895","0.797719","0.315727","1.62702","0.13192","-0.11543"
"3","-2.262075355004737","1.80901","-0.0449934","-3.17771","1.7886","-0.732697"
"2","-2.183914500004785","0.797719","0.315727","1.62702","0.13192","-0.11543"
"3","-2.1049641414189746","1.80901","-0.0449934","-3.17771","1.7886","-0.732697"
"2","-2.0252163044636107","0.797719","0.315727","1.62702","0.13192","-0.11543"
"3","-1.9446629338016268","1.80901","-0.0449934","-3.17771","1.7886","-0.732697"
"2","-1.8632958927289158","0.797719","0.315727","1.62702","0.13192","-0.11543"
"3","-1.7811069623524403","1.80901","-0.0449934","-3.17771","1.7886","-0.732697"
"2","-1.6980878407600406","0.797719","0.315727","1.62702","0.13192","-0.11543"
"3","-1.6142301421818592","1.80901","-0.0449934","-3.17771","1.7886","-0.732697"
"2","-1.529525396143292","0.797719","0.315727","1.62702","0.13192","-0.11543"
"3","-1.4439650466093858","1.80901","-0.0449934","-3.17771","1.7886","-0.732697"
"2","-1.3575404511205917","0.797719","0.315727","1.62702","0.13192","-0.11543"
"3","-1.2702428799197896","1.80901","-0.0449934","-3.17771","1.7886","-0.732697"
"2","-1.1820635150704943","0.797719","0.315727","1.62702","0.13192","-0.11543"
"3","-1.0929934495661557","1.80901","-0.0449934","-3.17771","1.7886","-0.732697"
"3","-1.0030236864304602","0.797719","0.315727","1.62702","0.13192","-0.11543"
"2","-0.9121451378085458","0.797719","0.315727","1.62702","0.13192","-0.11543"
"3","-0.8203486240490362","1.80901","-0.0449934","-3.17771","1.7886","-0.732697"
"2","-0.7276248727768042","0.797719","0.315727","1.62702","0.13192","-0.11543"
"3","-0.6339645179563679","1.80901","-0.0449934","-3.17771","1.7886","-0.732697"
"2","-0.5393580989458262","0.797719","0.315727","1.62702","0.13192","-0.11543"
"3","-0.4437960595412386","1.80901","-0.0449934","-3.17771","1.7886","-0.732697"
"2","-0.34726874701135213","0.797719","0.315727","1.62702","0.13192","-0.11543"
"3","-0.24976641112257794","1.80901","-0.0449934","-3.17771","1.7886","-0.732697"
"2","-0.15127920315411914","0.797719","0.315727","1.62702","0.13192","-0.11543"
"3","-0.05179717490315064","1.80901","-0.0449934","-3.17771","1.7886","-0.732697"
"2","0.048689722320049866","0.797719","0.315727","1.62702","0.13192","-0.11543"
"3","0.15019163870712107","1.80901","-0.0449934","-3.17771","1.7886","-0.732697"
"2","0.25271882697688997","0.797719","0.315727","1.62702","0.13192","-0.11543"
"3","0.356281643411","1.80901","-0.0449934","-3.17771","1.7886","-0.732697"
"2","0.46089054890000003","0.797719","0.315727","1.62702","0.13192","-0.11543"
"3","0.5665561100000001","1.80901","-0.0449934","-3.17771","1.7886","-0.732697"
"2","0.673289","0.797719","0.315727","1.62702","0.13192","-0.11543"
"3","0.7811","1.80901","-0.0449934","-3.17771","1.7886","-0.732697"
"2","0.89","0.797719","0.315727","1.62702","0.13192","-0.11543"
"0","1.0","1.80901","-0.0449934","-3.17771","1.7886","-0.732697"
