"Text","Sentiment"
"alice's adventures in wonderland    lewis carroll    the millennium fulcrum edition 3","1.0"
"0          chapter i","0.0"
"down the rabbit hole    alice was beginning to get very tired of sitting by her sister on the  bank, and of having nothing to do  once or twice she had peeped into the  book her sister was reading, but it had no pictures or conversations in  it, 'and what is the use of a book,' thought alice 'without pictures or  conversations","0.0"
"so she was considering in her own mind (as well as she could, for the  hot day made her feel very sleepy and stupid), whether the pleasure  of making a daisy chain would be worth the trouble of getting up and  picking the daisies, when suddenly a white rabbit with pink eyes ran  close by her","0.0"
"there was nothing so very remarkable in that  nor did alice think it so  very much out of the way to hear the rabbit say to itself, 'oh dear","1.0"
"oh dear","0.0"
"i shall be late","0.0"
"(when she thought it over afterwards, it  occurred to her that she ought to have wondered at this, but at the time  it all seemed quite natural)  but when the rabbit actually took a watch  out of its waistcoat pocket, and looked at it, and then hurried on,  alice started to her feet, for it flashed across her mind that she had  never before seen a rabbit with either a waistcoat pocket, or a watch  to take out of it, and burning with curiosity, she ran across the field  after it, and fortunately was just in time to see it pop down a large  rabbit hole under the hedge","0.0"
"in another moment down went alice after it, never once considering how  in the world she was to get out again","0.0"
"the rabbit hole went straight on like a tunnel for some way, and then  dipped suddenly down, so suddenly that alice had not a moment to think  about stopping herself before she found herself falling down a very deep  well","0.0"
"either the well was very deep, or she fell very slowly, for she had  plenty of time as she went down to look about her and to wonder what was  going to happen next","0.0"
"first, she tried to look down and make out what  she was coming to, but it was too dark to see anything  then she  looked at the sides of the well, and noticed that they were filled with  cupboards and book shelves  here and there she saw maps and pictures  hung upon pegs","0.0"
"she took down a jar from one of the shelves as  she passed  it was labelled 'orange marmalade', but to her great  disappointment it was empty  she did not like to drop the jar for fear  of killing somebody, so managed to put it into one of the cupboards as  she fell past it","0.0"
"'well","0.0"
"thought alice to herself, 'after such a fall as this, i shall  think nothing of tumbling down stairs","0.0"
"how brave they'll all think me at  home","0.0"
"why, i wouldn't say anything about it, even if i fell off the top  of the house","0.0"
"(which was very likely true","0.0"
"down, down, down","0.0"
"would the fall never come to an end","0.0"
"'i wonder how  many miles i've fallen by this time","0.0"
"she said aloud","1.0"
"'i must be getting  somewhere near the centre of the earth","0.0"
"let me see  that would be four  thousand miles down, i think  ' (for, you see, alice had learnt several  things of this sort in her lessons in the schoolroom, and though this  was not a very good opportunity for showing off her knowledge, as there  was no one to listen to her, still it was good practice to say it over)  '  yes, that's about the right distance  but then i wonder what latitude  or longitude i've got to","0.0"
"(alice had no idea what latitude was, or  longitude either, but thought they were nice grand words to say","0.0"
"presently she began again","0.0"
"'i wonder if i shall fall right through the  earth","0.0"
"how funny it'll seem to come out among the people that walk with  their heads downward","1.0"
"the antipathies, i think  ' (she was rather glad  there was no one listening, this time, as it didn't sound at all the  right word) '  but i shall have to ask them what the name of the country  is, you know","0.0"
"please, ma'am, is this new zealand or australia","1.0"
"(and  she tried to curtsey as she spoke  fancy curtseying as you're falling  through the air","1.0"
"do you think you could manage it","1.0"
"'and what an  ignorant little girl she'll think me for asking","1.0"
"no, it'll never do to  ask  perhaps i shall see it written up somewhere","0.0"
"down, down, down","0.0"
"there was nothing else to do, so alice soon began  talking again","0.0"
"'dinah'll miss me very much to night, i should think","0.0"
"(dinah was the cat","0.0"
"'i hope they'll remember her saucer of milk at  tea time","1.0"
"dinah my dear","0.0"
"i wish you were down here with me","0.0"
"there are no  mice in the air, i'm afraid, but you might catch a bat, and that's very  like a mouse, you know","1.0"
"but do cats eat bats, i wonder","1.0"
"and here alice  began to get rather sleepy, and went on saying to herself, in a dreamy  sort of way, 'do cats eat bats","1.0"
"do cats eat bats","1.0"
"and sometimes, 'do  bats eat cats","1.0"
"for, you see, as she couldn't answer either question,  it didn't much matter which way she put it","0.0"
"she felt that she was dozing  off, and had just begun to dream that she was walking hand in hand with  dinah, and saying to her very earnestly, 'now, dinah, tell me the truth   did you ever eat a bat","0.0"
"when suddenly, thump","1.0"
"thump","1.0"
"down she came upon  a heap of sticks and dry leaves, and the fall was over","0.0"
"alice was not a bit hurt, and she jumped up on to her feet in a moment   she looked up, but it was all dark overhead  before her was another  long passage, and the white rabbit was still in sight, hurrying down it","0.0"
"there was not a moment to be lost  away went alice like the wind, and  was just in time to hear it say, as it turned a corner, 'oh my ears  and whiskers, how late it's getting","1.0"
"she was close behind it when she  turned the corner, but the rabbit was no longer to be seen  she found  herself in a long, low hall, which was lit up by a row of lamps hanging  from the roof","0.0"
"there were doors all round the hall, but they were all locked  and when  alice had been all the way down one side and up the other, trying every  door, she walked sadly down the middle, wondering how she was ever to  get out again","0.0"
"suddenly she came upon a little three legged table, all made of solid  glass  there was nothing on it except a tiny golden key, and alice's  first thought was that it might belong to one of the doors of the hall   but, alas","1.0"
"either the locks were too large, or the key was too small,  but at any rate it would not open any of them","0.0"
"however, on the second  time round, she came upon a low curtain she had not noticed before, and  behind it was a little door about fifteen inches high  she tried the  little golden key in the lock, and to her great delight it fitted","0.0"
"alice opened the door and found that it led into a small passage, not  much larger than a rat hole  she knelt down and looked along the passage  into the loveliest garden you ever saw","0.0"
"how she longed to get out of  that dark hall, and wander about among those beds of bright flowers and  those cool fountains, but she could not even get her head through the  doorway  'and even if my head would go through,' thought poor alice, 'it  would be of very little use without my shoulders","1.0"
"oh, how i wish i could  shut up like a telescope","1.0"
"i think i could, if i only knew how to begin","0.0"
"for, you see, so many out of the way things had happened lately,  that alice had begun to think that very few things indeed were really  impossible","0.0"
