"Text","Binary_Sentiment","Cont_Sentiment"
"alice's adventures in wonderland    lewis carroll    the millennium fulcrum edition 3 0          chapter i","1.0","3.1048486232757568"
"down the rabbit hole    alice was beginning to get very tired of sitting by her sister on the  bank, and of having nothing to do  once or twice she had peeped into the  book her sister was reading, but it had no pictures or conversations in  it, 'and what is the use of a book,' thought alice 'without pictures or  conversations?'","0.0","-5.7438292503356934"
"so she was considering in her own mind (as well as she could, for the  hot day made her feel very sleepy and stupid), whether the pleasure  of making a daisy chain would be worth the trouble of getting up and  picking the daisies, when suddenly a white rabbit with pink eyes ran  close by her","1.0","0.46350264549255371"
"there was nothing so very remarkable in that  nor did alice think it so  very much out of the way to hear the rabbit say to itself, 'oh dear!","1.0","0.95807838439941406"
"oh dear!","1.0","2.5397210121154785"
"i shall be late!'","0.0","-4.883263111114502"
"(when she thought it over afterwards, it  occurred to her that she ought to have wondered at this, but at the time  it all seemed quite natural)  but when the rabbit actually took a watch  out of its waistcoat pocket, and looked at it, and then hurried on,  alice started to her feet, for it flashed across her mind that she had  never before seen a rabbit with either a waistcoat pocket, or a watch  to take out of it, and burning with curiosity, she ran across the field  after it, and fortunately was just in time to see it pop down a large  rabbit hole under the hedge","0.0","-3.4064652919769287"
"in another moment down went alice after it, never once considering how  in the world she was to get out again","0.0","-0.86004447937011719"
"the rabbit hole went straight on like a tunnel for some way, and then  dipped suddenly down, so suddenly that alice had not a moment to think  about stopping herself before she found herself falling down a very deep  well","0.0","-5.2299513816833496"
"either the well was very deep, or she fell very slowly, for she had  plenty of time as she went down to look about her and to wonder what was  going to happen next","1.0","15.910337448120117"
"first, she tried to look down and make out what  she was coming to, but it was too dark to see anything  then she  looked at the sides of the well, and noticed that they were filled with  cupboards and book shelves  here and there she saw maps and pictures  hung upon pegs","1.0","2.5023689270019531"
"she took down a jar from one of the shelves as  she passed  it was labelled 'orange marmalade', but to her great  disappointment it was empty  she did not like to drop the jar for fear  of killing somebody, so managed to put it into one of the cupboards as  she fell past it","0.0","-0.85054421424865723"
"'well!'","1.0","2.742706298828125"
"thought alice to herself, 'after such a fall as this, i shall  think nothing of tumbling down stairs!","1.0","4.2150416374206543"
"how brave they'll all think me at  home!","1.0","1.005457878112793"
"why, i wouldn't say anything about it, even if i fell off the top  of the house!'","0.0","-5.5738415718078613"
"(which was very likely true )","0.0","-3.8944284915924072"
"down, down, down","0.0","-0.19435882568359375"
"would the fall never come to an end!","1.0","5.3251619338989258"
"'i wonder how  many miles i've fallen by this time?'","0.0","-6.2523541450500488"
"she said aloud","1.0","2.5161962509155273"
"'i must be getting  somewhere near the centre of the earth","0.0","-0.61427211761474609"
"let me see  that would be four  thousand miles down, i think  ' (for, you see, alice had learnt several  things of this sort in her lessons in the schoolroom, and though this  was not a very good opportunity for showing off her knowledge, as there  was no one to listen to her, still it was good practice to say it over)  '  yes, that's about the right distance  but then i wonder what latitude  or longitude i've got to?'","0.0","-7.2709617614746094"
"(alice had no idea what latitude was, or  longitude either, but thought they were nice grand words to say )","0.0","-6.8086891174316406"
"presently she began again","1.0","1.1923699378967285"
"'i wonder if i shall fall right through the  earth!","0.0","-3.1310129165649414"
"how funny it'll seem to come out among the people that walk with  their heads downward!","1.0","2.7561051845550537"
"the antipathies, i think  ' (she was rather glad  there was no one listening, this time, as it didn't sound at all the  right word) '  but i shall have to ask them what the name of the country  is, you know","0.0","-0.095954656600952148"
"please, ma'am, is this new zealand or australia?'","0.0","-3.5700888633728027"
"(and  she tried to curtsey as she spoke  fancy curtseying as you're falling  through the air!","1.0","2.502739429473877"
"do you think you could manage it?)","1.0","7.7657957077026367"
"'and what an  ignorant little girl she'll think me for asking!","1.0","2.4162971973419189"
"no, it'll never do to  ask  perhaps i shall see it written up somewhere '","0.0","-4.3441061973571777"
"down, down, down","0.0","-0.19435882568359375"
"there was nothing else to do, so alice soon began  talking again","1.0","0.74187016487121582"
"'dinah'll miss me very much to night, i should think!'","1.0","2.6137588024139404"
"(dinah was the cat )","1.0","1.644411563873291"
"'i hope they'll remember her saucer of milk at  tea time","0.0","-4.022789478302002"
"dinah my dear!","1.0","5.3582658767700195"
"i wish you were down here with me!","1.0","1.2746171951293945"
"there are no  mice in the air, i'm afraid, but you might catch a bat, and that's very  like a mouse, you know","1.0","0.83499550819396973"
"but do cats eat bats, i wonder?'","1.0","1.6650497913360596"
"and here alice  began to get rather sleepy, and went on saying to herself, in a dreamy  sort of way, 'do cats eat bats?","0.0","-3.328108549118042"
"do cats eat bats?'","1.0","4.953425407409668"
"and sometimes, 'do  bats eat cats?'","0.0","-9.2565698623657227"
"for, you see, as she couldn't answer either question,  it didn't much matter which way she put it","0.0","-3.5976486206054688"
"she felt that she was dozing  off, and had just begun to dream that she was walking hand in hand with  dinah, and saying to her very earnestly, 'now, dinah, tell me the truth   did you ever eat a bat?'","0.0","-4.9496641159057617"
"when suddenly, thump!","0.0","-4.5617051124572754"
"thump!","1.0","1.0493888854980469"
"down she came upon  a heap of sticks and dry leaves, and the fall was over","0.0","-3.974215030670166"
