"Text","Binary_Sentiment","Cont_Sentiment"
"candide          i    how candide was brought up in a magnificent castle, and how he was  expelled thence","0.0","-0.17962415516376495"
"in a castle of westphalia, belonging to the baron of  thunder ten tronckh, lived a youth, whom nature had endowed with the  most gentle manners","1.0","4.7482724189758301"
"his countenance was a true picture of his soul","1.0","0.15896528959274292"
"he  combined a true judgment with simplicity of spirit, which was the  reason, i apprehend, of his being called candide","1.0","3.7355914115905762"
"the old servants of  the family suspected him to have been the son of the baron's sister, by  a good, honest gentleman of the neighborhood, whom that young lady would  never marry because he had been able to prove only seventy one  quarterings, the rest of his genealogical tree having been lost through  the injuries of time","1.0","0.50700348615646362"
"the baron was one of the most powerful lords in westphalia, for his  castle had not only a gate, but windows","1.0","0.63450372219085693"
"his great hall, even, was hung  with tapestry","1.0","1.1587777137756348"
"all the dogs of his farm yards formed a pack of hounds at  need  his grooms were his huntsmen  and the curate of the village was  his grand almoner","0.0","-0.50129568576812744"
"they called him  my lord,  and laughed at all his  stories","1.0","1.257011890411377"
"the baron's lady weighed about three hundred and fifty pounds, and was  therefore a person of great consideration, and she did the honours of  the house with a dignity that commanded still greater respect","1.0","2.2989811897277832"
"her  daughter cunegonde was seventeen years of age, fresh coloured, comely,  plump, and desirable","1.0","4.9910860061645508"
"the baron's son seemed to be in every respect  worthy of his father","1.0","4.8214359283447266"
"the preceptor pangloss 1  was the oracle of the  family, and little candide heard his lessons with all the good faith of  his age and character","1.0","2.2199649810791016"
"pangloss was professor of metaphysico theologico cosmolo nigology","0.0","-0.95389801263809204"
"he  proved admirably that there is no effect without a cause, and that, in  this best of all possible worlds, the baron's castle was the most  magnificent of castles, and his lady the best of all possible  baronesses","0.0","-1.6083123683929443"
"it is demonstrable,  said he,  that things cannot be otherwise than as  they are  for all being created for an end, all is necessarily for the  best end","0.0","-0.41644632816314697"
"observe, that the nose has been formed to bear  spectacles  thus we have spectacles","1.0","1.1892282962799072"
"legs are visibly designed for  stockings  and we have stockings","0.0","-5.7573227882385254"
"stones were made to be hewn, and to  construct castles  therefore my lord has a magnificent castle  for the  greatest baron in the province ought to be the best lodged","0.0","-3.3978803157806396"
"pigs were  made to be eaten  therefore we eat pork all the year round","0.0","-1.8542141914367676"
"consequently  they who assert that all is well have said a foolish thing, they should  have said all is for the best","0.0","-3.4135842323303223"
"candide listened attentively and believed innocently  for he thought  miss cunegonde extremely beautiful, though he never had the courage to  tell her so","1.0","0.95175820589065552"
"he concluded that after the happiness of being born of  baron of thunder ten tronckh, the second degree of happiness was to be  miss cunegonde, the third that of seeing her every day, and the fourth  that of hearing master pangloss, the greatest philosopher of the whole  province, and consequently of the whole world","1.0","0.66483104228973389"
"one day cunegonde, while walking near the castle, in a little wood which  they called a park, saw between the bushes, dr  pangloss giving a lesson  in experimental natural philosophy to her mother's chamber maid, a  little brown wench, very pretty and very docile","0.0","-1.4790135622024536"
"as miss cunegonde had a  great disposition for the sciences, she breathlessly observed the  repeated experiments of which she was a witness  she clearly perceived  the force of the doctor's reasons, the effects, and the causes  she  turned back greatly flurried, quite pensive, and filled with the desire  to be learned  dreaming that she might well be a  sufficient reason  for  young candide, and he for her","1.0","1.1073331832885742"
"she met candide on reaching the castle and blushed  candide blushed  also  she wished him good morrow in a faltering tone, and candide spoke  to her without knowing what he said","0.0","-1.0766935348510742"
"the next day after dinner, as they  went from table, cunegonde and candide found themselves behind a screen   cunegonde let fall her handkerchief, candide picked it up, she took him  innocently by the hand, the youth as innocently kissed the young lady's  hand with particular vivacity, sensibility, and grace  their lips met,  their eyes sparkled, their knees trembled, their hands strayed","0.0","-3.8140263557434082"
"baron  thunder ten tronckh passed near the screen and beholding this cause and  effect chased candide from the castle with great kicks on the backside   cunegonde fainted away  she was boxed on the ears by the baroness, as  soon as she came to herself  and all was consternation in this most  magnificent and most agreeable of all possible castles","0.0","-1.0532609224319458"
"ii    what became of candide among the bulgarians","1.0","1.5279724597930908"
"candide, driven from terrestrial paradise, walked a long while without  knowing where, weeping, raising his eyes to heaven, turning them often  towards the most magnificent of castles which imprisoned the purest of  noble young ladies","1.0","1.3912477493286133"
"he lay down to sleep without supper, in the middle  of a field between two furrows","0.0","-3.0047807693481445"
"the snow fell in large flakes","0.0","-4.362515926361084"
"next day  candide, all benumbed, dragged himself towards the neighbouring town  which was called waldberghofftrarbk dikdorff, having no money, dying of  hunger and fatigue, he stopped sorrowfully at the door of an inn","0.0","-1.6017124652862549"
"two  men dressed in blue observed him","0.0","-0.58025133609771729"
"comrade,  said one,  here is a well built young fellow, and of proper  height","1.0","0.59943389892578125"
"they went up to candide and very civilly invited him to dinner","0.0","-6.5279750823974609"
"gentlemen,  replied candide, with a most engaging modesty,  you do me  great honour, but i have not wherewithal to pay my share","1.0","3.8633008003234863"
"oh, sir,  said one of the blues to him,  people of your appearance and  of your merit never pay anything  are you not five feet five inches  high?","0.0","-4.271662712097168"
"yes, sir, that is my height,  answered he, making a low bow","1.0","1.0418380498886108"
"come, sir, seat yourself  not only will we pay your reckoning, but we  will never suffer such a man as you to want money  men are only born to  assist one another","0.0","-1.3739298582077026"
"you are right,  said candide   this is what i was always taught by mr   pangloss, and i see plainly that all is for the best","1.0","3.0224747657775879"
"they begged of him to accept a few crowns","1.0","0.15388189256191254"
"he took them, and wished to  give them his note  they refused  they seated themselves at table","0.0","-3.5412781238555908"
"love you not deeply?","0.0","-0.55868434906005859"
"oh yes,  answered he   i deeply love miss cunegonde","1.0","1.9752180576324463"
"no,  said one of the gentlemen,  we ask you if you do not deeply love  the king of the bulgarians?","1.0","0.38947194814682007"
"not at all,  said he   for i have never seen him","0.0","-1.1928043365478516"
"what!","1.0","0.77077758312225342"
"he is the best of kings, and we must drink his health","0.0","-0.35516279935836792"
"oh!","0.0","-0.86778318881988525"
"very willingly, gentlemen,  and he drank","1.0","1.1619127988815308"
"that is enough,  they tell him","0.0","-1.571242094039917"
"now you are the help, the support,  the defender, the hero of the bulgarians","1.0","1.1257092952728271"
"your fortune is made, and your  glory is assured","1.0","3.8948469161987305"
"instantly they fettered him, and carried him away to the regiment","0.0","-0.61860519647598267"
"there  he was made to wheel about to the right, and to the left, to draw his  rammer, to return his rammer, to present, to fire, to march, and they  gave him thirty blows with a cudgel","0.0","-4.0696735382080078"
"the next day he did his exercise a  little less badly, and he received but twenty blows","0.0","-6.5187087059020996"
"the day following  they gave him only ten, and he was regarded by his comrades as a  prodigy","0.0","-4.928128719329834"
"candide, all stupefied, could not yet very well realise how he was a  hero","0.0","-1.3013110160827637"
"he resolved one fine day in spring to go for a walk, marching  straight before him, believing that it was a privilege of the human as  well as of the animal species to make use of their legs as they pleased","0.0","-0.38000482320785522"
"he had advanced two leagues when he was overtaken by four others, heroes  of six feet, who bound him and carried him to a dungeon","0.0","-5.4720463752746582"
"he was asked  which he would like the best, to be whipped six and thirty times through  all the regiment, or to receive at once twelve balls of lead in his  brain","0.0","-1.7911922931671143"
"he vainly said that human will is free, and that he chose neither  the one nor the other","0.0","-4.5925235748291016"
