"Text","Binary_Sentiment","Cont_Sentiment"
"candide          i    how candide was brought up in a magnificent castle, and how he was  expelled thence","1.0","5.4579286575317383"
"in a castle of westphalia, belonging to the baron of  thunder ten tronckh, lived a youth, whom nature had endowed with the  most gentle manners","1.0","0.86434650421142578"
"his countenance was a true picture of his soul","1.0","2.1538047790527344"
"he  combined a true judgment with simplicity of spirit, which was the  reason, i apprehend, of his being called candide","1.0","1.6825459003448486"
"the old servants of  the family suspected him to have been the son of the baron's sister, by  a good, honest gentleman of the neighborhood, whom that young lady would  never marry because he had been able to prove only seventy one  quarterings, the rest of his genealogical tree having been lost through  the injuries of time","1.0","0.93301904201507568"
"the baron was one of the most powerful lords in westphalia, for his  castle had not only a gate, but windows","1.0","5.4293398857116699"
"his great hall, even, was hung  with tapestry","1.0","4.8436975479125977"
"all the dogs of his farm yards formed a pack of hounds at  need  his grooms were his huntsmen  and the curate of the village was  his grand almoner","0.0","-7.1853423118591309"
"they called him  my lord,  and laughed at all his  stories","1.0","1.8458819389343262"
"the baron's lady weighed about three hundred and fifty pounds, and was  therefore a person of great consideration, and she did the honours of  the house with a dignity that commanded still greater respect","0.0","-0.63787811994552612"
"her  daughter cunegonde was seventeen years of age, fresh coloured, comely,  plump, and desirable","1.0","6.9807643890380859"
"the baron's son seemed to be in every respect  worthy of his father","1.0","7.8140511512756348"
"the preceptor pangloss 1  was the oracle of the  family, and little candide heard his lessons with all the good faith of  his age and character","1.0","7.3735342025756836"
"pangloss was professor of metaphysico theologico cosmolo nigology","1.0","3.5620980262756348"
"he  proved admirably that there is no effect without a cause, and that, in  this best of all possible worlds, the baron's castle was the most  magnificent of castles, and his lady the best of all possible  baronesses","1.0","6.2382564544677734"
"it is demonstrable,  said he,  that things cannot be otherwise than as  they are  for all being created for an end, all is necessarily for the  best end","0.0","-4.2196741104125977"
"observe, that the nose has been formed to bear  spectacles  thus we have spectacles","0.0","-5.4442787170410156"
"legs are visibly designed for  stockings  and we have stockings","0.0","-2.2219307422637939"
"stones were made to be hewn, and to  construct castles  therefore my lord has a magnificent castle  for the  greatest baron in the province ought to be the best lodged","0.0","-1.4228124618530273"
"pigs were  made to be eaten  therefore we eat pork all the year round","0.0","-3.0390365123748779"
"consequently  they who assert that all is well have said a foolish thing, they should  have said all is for the best","1.0","0.80862051248550415"
"candide listened attentively and believed innocently  for he thought  miss cunegonde extremely beautiful, though he never had the courage to  tell her so","1.0","3.6797659397125244"
"he concluded that after the happiness of being born of  baron of thunder ten tronckh, the second degree of happiness was to be  miss cunegonde, the third that of seeing her every day, and the fourth  that of hearing master pangloss, the greatest philosopher of the whole  province, and consequently of the whole world","0.0","-0.11705964803695679"
"one day cunegonde, while walking near the castle, in a little wood which  they called a park, saw between the bushes, dr  pangloss giving a lesson  in experimental natural philosophy to her mother's chamber maid, a  little brown wench, very pretty and very docile","1.0","1.8260478973388672"
"as miss cunegonde had a  great disposition for the sciences, she breathlessly observed the  repeated experiments of which she was a witness  she clearly perceived  the force of the doctor's reasons, the effects, and the causes  she  turned back greatly flurried, quite pensive, and filled with the desire  to be learned  dreaming that she might well be a  sufficient reason  for  young candide, and he for her","1.0","3.5346364974975586"
"she met candide on reaching the castle and blushed  candide blushed  also  she wished him good morrow in a faltering tone, and candide spoke  to her without knowing what he said","1.0","2.1672177314758301"
"the next day after dinner, as they  went from table, cunegonde and candide found themselves behind a screen   cunegonde let fall her handkerchief, candide picked it up, she took him  innocently by the hand, the youth as innocently kissed the young lady's  hand with particular vivacity, sensibility, and grace  their lips met,  their eyes sparkled, their knees trembled, their hands strayed","0.0","-10.533993721008301"
"baron  thunder ten tronckh passed near the screen and beholding this cause and  effect chased candide from the castle with great kicks on the backside   cunegonde fainted away  she was boxed on the ears by the baroness, as  soon as she came to herself  and all was consternation in this most  magnificent and most agreeable of all possible castles","1.0","0.84953266382217407"
"ii    what became of candide among the bulgarians","1.0","2.647252082824707"
"candide, driven from terrestrial paradise, walked a long while without  knowing where, weeping, raising his eyes to heaven, turning them often  towards the most magnificent of castles which imprisoned the purest of  noble young ladies","1.0","7.1604862213134766"
"he lay down to sleep without supper, in the middle  of a field between two furrows","1.0","6.5921535491943359"
"the snow fell in large flakes","0.0","-0.76610535383224487"
"next day  candide, all benumbed, dragged himself towards the neighbouring town  which was called waldberghofftrarbk dikdorff, having no money, dying of  hunger and fatigue, he stopped sorrowfully at the door of an inn","0.0","-1.0641229152679443"
"two  men dressed in blue observed him","0.0","-4.0364770889282227"
"comrade,  said one,  here is a well built young fellow, and of proper  height","1.0","2.1890361309051514"
"they went up to candide and very civilly invited him to dinner","0.0","-3.0386018753051758"
"gentlemen,  replied candide, with a most engaging modesty,  you do me  great honour, but i have not wherewithal to pay my share","1.0","3.4014065265655518"
"oh, sir,  said one of the blues to him,  people of your appearance and  of your merit never pay anything  are you not five feet five inches  high?","0.0","-6.4020833969116211"
"yes, sir, that is my height,  answered he, making a low bow","0.0","-5.2930617332458496"
"come, sir, seat yourself  not only will we pay your reckoning, but we  will never suffer such a man as you to want money  men are only born to  assist one another","0.0","-7.1781902313232422"
"you are right,  said candide   this is what i was always taught by mr   pangloss, and i see plainly that all is for the best","1.0","4.5272717475891113"
"they begged of him to accept a few crowns","1.0","3.5501785278320312"
"he took them, and wished to  give them his note  they refused  they seated themselves at table","0.0","-2.0072522163391113"
"love you not deeply?","0.0","-0.50133818387985229"
"oh yes,  answered he   i deeply love miss cunegonde","1.0","1.4741637706756592"
"no,  said one of the gentlemen,  we ask you if you do not deeply love  the king of the bulgarians?","0.0","-5.05364990234375"
"not at all,  said he   for i have never seen him","0.0","-4.1081948280334473"
"what!","1.0","3.4411015510559082"
"he is the best of kings, and we must drink his health","1.0","7.6093902587890625"
"oh!","0.0","-0.76267194747924805"
"very willingly, gentlemen,  and he drank","1.0","7.0000371932983398"
"that is enough,  they tell him","0.0","-3.2093062400817871"
"now you are the help, the support,  the defender, the hero of the bulgarians","0.0","-0.24489784240722656"
"your fortune is made, and your  glory is assured","0.0","-2.3537037372589111"
"instantly they fettered him, and carried him away to the regiment","1.0","3.547640323638916"
"there  he was made to wheel about to the right, and to the left, to draw his  rammer, to return his rammer, to present, to fire, to march, and they  gave him thirty blows with a cudgel","0.0","-3.7594077587127686"
"the next day he did his exercise a  little less badly, and he received but twenty blows","0.0","-8.891261100769043"
"the day following  they gave him only ten, and he was regarded by his comrades as a  prodigy","0.0","-4.8554787635803223"
"candide, all stupefied, could not yet very well realise how he was a  hero","1.0","2.0080771446228027"
"he resolved one fine day in spring to go for a walk, marching  straight before him, believing that it was a privilege of the human as  well as of the animal species to make use of their legs as they pleased","1.0","6.0410184860229492"
"he had advanced two leagues when he was overtaken by four others, heroes  of six feet, who bound him and carried him to a dungeon","0.0","-6.4730978012084961"
"he was asked  which he would like the best, to be whipped six and thirty times through  all the regiment, or to receive at once twelve balls of lead in his  brain","1.0","0.13076972961425781"
"he vainly said that human will is free, and that he chose neither  the one nor the other","0.0","-6.5990710258483887"
"he was forced to make a choice  he determined, in  virtue of that gift of god called liberty, to run the gauntlet  six and thirty times","1.0","5.2842555046081543"
"he bore this twice","0.0","-6.2193622589111328"
"the regiment was composed of  two thousand men  that composed for him four thousand strokes, which  laid bare all his muscles and nerves, from the nape of his neck quite  down to his rump","1.0","1.4954779148101807"
"as they were going to proceed to a third whipping,  candide, able to bear no more, begged as a favour that they would be so  good as to shoot him","1.0","1.4507138729095459"
"he obtained this favour  they bandaged his eyes,  and bade him kneel down","1.0","7.0236120223999023"
"the king of the bulgarians passed at this  moment and ascertained the nature of the crime","1.0","1.8306592702865601"
"as he had great talent,  he understood from all that he learnt of candide that he was a young  metaphysician, extremely ignorant of the things of this world, and he  accorded him his pardon with a clemency which will bring him praise in  all the journals, and throughout all ages","0.0","-6.448209285736084"
"an able surgeon cured candide in three weeks by means of emollients  taught by dioscorides","0.0","-2.0623271465301514"
