"Text","Binary_Sentiment","Cont_Sentiment"
"the picture of dorian gray    by    oscar wilde          the preface    the artist is the creator of beautiful things","1.0","4.8913640975952148"
"to reveal art and  conceal the artist is art's aim","1.0","3.9889650344848633"
"the critic is he who can translate  into another manner or a new material his impression of beautiful  things","1.0","2.8818717002868652"
"the highest as the lowest form of criticism is a mode of autobiography","0.0","-3.9116332530975342"
"those who find ugly meanings in beautiful things are corrupt without  being charming","1.0","0.83972573280334473"
"this is a fault","0.0","-5.5841836929321289"
"those who find beautiful meanings in beautiful things are the  cultivated","1.0","2.666020393371582"
"for these there is hope","0.0","-1.635578989982605"
"they are the elect to whom  beautiful things mean only beauty","1.0","2.1362953186035156"
"there is no such thing as a moral or an immoral book","0.0","-2.0184326171875"
"books are well  written, or badly written","0.0","-5.5458097457885742"
"that is all","0.0","-0.091526053845882416"
"the nineteenth century dislike of realism is the rage of caliban seeing  his own face in a glass","1.0","1.4413902759552002"
"the nineteenth century dislike of romanticism is the rage of caliban  not seeing his own face in a glass","1.0","0.65137290954589844"
"the moral life of man forms part  of the subject matter of the artist, but the morality of art consists  in the perfect use of an imperfect medium","1.0","4.0784158706665039"
"no artist desires to prove  anything","1.0","0.18987758457660675"
"even things that are true can be proved","0.0","-0.31895333528518677"
"no artist has  ethical sympathies","1.0","3.4776530265808105"
"an ethical sympathy in an artist is an  unpardonable mannerism of style","1.0","3.5516500473022461"
"no artist is ever morbid","1.0","3.6936535835266113"
"the artist  can express everything","1.0","2.1466226577758789"
"thought and language are to the artist  instruments of an art","1.0","3.8211798667907715"
"vice and virtue are to the artist materials for  an art","1.0","2.829707145690918"
"from the point of view of form, the type of all the arts is  the art of the musician","1.0","3.5406489372253418"
"from the point of view of feeling, the  actor's craft is the type","1.0","2.2301309108734131"
"all art is at once surface and symbol","0.0","-0.31604522466659546"
"those who go beneath the surface do so at their peril","1.0","1.4901728630065918"
"those who read  the symbol do so at their peril","1.0","3.1987648010253906"
"it is the spectator, and not life,  that art really mirrors","1.0","3.714604377746582"
"diversity of opinion about a work of art  shows that the work is new, complex, and vital","1.0","4.4363913536071777"
"when critics disagree,  the artist is in accord with himself","0.0","-0.23408466577529907"
"we can forgive a man for making  a useful thing as long as he does not admire it","0.0","-1.3725595474243164"
"the only excuse for  making a useless thing is that one admires it intensely","0.0","-6.1583404541015625"
"all art is quite useless","0.0","-3.1787960529327393"
"oscar wilde          chapter 1    the studio was filled with the rich odour of roses, and when the light  summer wind stirred amidst the trees of the garden, there came through  the open door the heavy scent of the lilac, or the more delicate  perfume of the pink flowering thorn","0.0","-0.1029706746339798"
