"Text","Binary_Sentiment","Cont_Sentiment"
"the picture of dorian gray    by    oscar wilde          the preface    the artist is the creator of beautiful things","1.0","0.12479615211486816"
"to reveal art and  conceal the artist is art's aim","1.0","7.2009077072143555"
"the critic is he who can translate  into another manner or a new material his impression of beautiful  things","0.0","-6.4573736190795898"
"the highest as the lowest form of criticism is a mode of autobiography","1.0","3.1835737228393555"
"those who find ugly meanings in beautiful things are corrupt without  being charming","1.0","1.4762825965881348"
"this is a fault","0.0","-3.7746593952178955"
"those who find beautiful meanings in beautiful things are the  cultivated","1.0","4.4453163146972656"
"for these there is hope","1.0","5.0610566139221191"
"they are the elect to whom  beautiful things mean only beauty","1.0","2.6614303588867188"
"there is no such thing as a moral or an immoral book","0.0","-2.1285219192504883"
"books are well  written, or badly written","0.0","-4.3145184516906738"
"that is all","1.0","3.5056452751159668"
"the nineteenth century dislike of realism is the rage of caliban seeing  his own face in a glass","0.0","-4.0657119750976562"
"the nineteenth century dislike of romanticism is the rage of caliban  not seeing his own face in a glass","0.0","-4.0851602554321289"
"the moral life of man forms part  of the subject matter of the artist, but the morality of art consists  in the perfect use of an imperfect medium","1.0","3.3896842002868652"
"no artist desires to prove  anything","1.0","2.2749338150024414"
"even things that are true can be proved","0.0","-3.9825880527496338"
"no artist has  ethical sympathies","1.0","5.0391936302185059"
"an ethical sympathy in an artist is an  unpardonable mannerism of style","1.0","5.0639982223510742"
"no artist is ever morbid","1.0","4.8582887649536133"
"the artist  can express everything","1.0","4.4777212142944336"
"thought and language are to the artist  instruments of an art","1.0","4.7882118225097656"
"vice and virtue are to the artist materials for  an art","0.0","-7.3020586967468262"
"from the point of view of form, the type of all the arts is  the art of the musician","1.0","1.7139511108398438"
"from the point of view of feeling, the  actor's craft is the type","1.0","3.8020486831665039"
"all art is at once surface and symbol","1.0","3.8744854927062988"
"those who go beneath the surface do so at their peril","1.0","5.1794118881225586"
"those who read  the symbol do so at their peril","1.0","6.8202528953552246"
"it is the spectator, and not life,  that art really mirrors","0.0","-1.5732474327087402"
"diversity of opinion about a work of art  shows that the work is new, complex, and vital","1.0","6.9747481346130371"
"when critics disagree,  the artist is in accord with himself","1.0","2.5899543762207031"
"we can forgive a man for making  a useful thing as long as he does not admire it","0.0","-6.5162301063537598"
"the only excuse for  making a useless thing is that one admires it intensely","0.0","-5.6641926765441895"
"all art is quite useless","1.0","0.70186853408813477"
"oscar wilde          chapter 1    the studio was filled with the rich odour of roses, and when the light  summer wind stirred amidst the trees of the garden, there came through  the open door the heavy scent of the lilac, or the more delicate  perfume of the pink flowering thorn","1.0","1.9663300514221191"
"from the corner of the divan of persian saddle bags on which he was  lying, smoking, as was his custom, innumerable cigarettes, lord henry  wotton could just catch the gleam of the honey sweet and honey coloured  blossoms of a laburnum, whose tremulous branches seemed hardly able to  bear the burden of a beauty so flamelike as theirs  and now and then  the fantastic shadows of birds in flight flitted across the long  tussore silk curtains that were stretched in front of the huge window,  producing a kind of momentary japanese effect, and making him think of  those pallid, jade faced painters of tokyo who, through the medium of  an art that is necessarily immobile, seek to convey the sense of  swiftness and motion","0.0","-5.4715180397033691"
"the sullen murmur of the bees shouldering their  way through the long unmown grass, or circling with monotonous  insistence round the dusty gilt horns of the straggling woodbine,  seemed to make the stillness more oppressive","0.0","-3.1541192531585693"
"the dim roar of london  was like the bourdon note of a distant organ","0.0","-6.3689737319946289"
"in the centre of the room, clamped to an upright easel, stood the  full length portrait of a young man of extraordinary personal beauty,  and in front of it, some little distance away, was sitting the artist  himself, basil hallward, whose sudden disappearance some years ago  caused, at the time, such public excitement and gave rise to so many  strange conjectures","1.0","4.1962213516235352"
"as the painter looked at the gracious and comely form he had so  skilfully mirrored in his art, a smile of pleasure passed across his  face, and seemed about to linger there","1.0","0.74367260932922363"
"but he suddenly started up,  and closing his eyes, placed his fingers upon the lids, as though he  sought to imprison within his brain some curious dream from which he  feared he might awake","1.0","0.43494987487792969"
"it is your best work, basil, the best thing you have ever done,  said  lord henry languidly","1.0","3.465712308883667"
"you must certainly send it next year to the  grosvenor","0.0","-3.8962838649749756"
"the academy is too large and too vulgar","1.0","1.6747182607650757"
"whenever i have  gone there, there have been either so many people that i have not been  able to see the pictures, which was dreadful, or so many pictures that  i have not been able to see the people, which was worse","0.0","-12.560569763183594"
"the grosvenor  is really the only place","1.0","2.1696021556854248"
"i don't think i shall send it anywhere,  he answered, tossing his head  back in that odd way that used to make his friends laugh at him at  oxford","0.0","-3.8792834281921387"
"no, i won't send it anywhere","1.0","5.7113580703735352"
"lord henry elevated his eyebrows and looked at him in amazement through  the thin blue wreaths of smoke that curled up in such fanciful whorls  from his heavy, opium tainted cigarette","1.0","3.4027366638183594"
"not send it anywhere?","1.0","4.5097169876098633"
"my  dear fellow, why?","1.0","0.40568351745605469"
"have you any reason?","1.0","2.0314416885375977"
"what odd chaps you painters  are!","1.0","1.0284261703491211"
"you do anything in the world to gain a reputation","0.0","-3.266488790512085"
"as soon as  you have one, you seem to want to throw it away","0.0","-2.7398223876953125"
"it is silly of you,  for there is only one thing in the world worse than being talked about,  and that is not being talked about","0.0","-5.1885414123535156"
"a portrait like this would set you  far above all the young men in england, and make the old men quite  jealous, if old men are ever capable of any emotion","1.0","1.4512081146240234"
"i know you will laugh at me,  he replied,  but i really can't exhibit  it","1.0","0.80472421646118164"
"i have put too much of myself into it","0.0","-6.0721559524536133"
"lord henry stretched himself out on the divan and laughed","1.0","1.8756895065307617"
"yes, i knew you would  but it is quite true, all the same","0.0","-0.20174449682235718"
"too much of yourself in it!","0.0","-4.2563986778259277"
"upon my word, basil, i didn't know you  were so vain  and i really can't see any resemblance between you, with  your rugged strong face and your coal black hair, and this young  adonis, who looks as if he was made out of ivory and rose leaves","1.0","2.0873222351074219"
"why,  my dear basil, he is a narcissus, and you  well, of course you have an  intellectual expression and all that","0.0","-0.89378571510314941"
"but beauty, real beauty, ends  where an intellectual expression begins","1.0","3.4306089878082275"
"intellect is in itself a mode  of exaggeration, and destroys the harmony of any face","1.0","1.0245795249938965"
"the moment one  sits down to think, one becomes all nose, or all forehead, or something  horrid","1.0","3.3320260047912598"
"look at the successful men in any of the learned professions","0.0","-2.7089636325836182"
"how perfectly hideous they are!","0.0","-0.58188438415527344"
"except, of course, in the church","1.0","1.7224750518798828"
"but  then in the church they don't think","1.0","2.8344740867614746"
