"Text","Sentiment"
"essays                                      by                              ralph waldo emerson                                  merrill's english texts                    selected and edited, with introduction                  and notes, by edna h","1.0"
"l","0.0"
"turpin, author                  of  stories from american history,                   classic fables,   famous painters,  etc","1.0"
"new york                            charles e","0.0"
"merrill co","1.0"
"1907          contents      introduction    life of emerson    critical opinions    chronological list of principal works    the american scholar    compensation    self reliance    friendship    heroism    manners    gifts    nature    shakespeare  or, the poet    prudence    circles    notes          publishers' note    merrill's english texts      this series of books will include in complete editions those  masterpieces of english literature that are best adapted for the use  of schools and colleges","1.0"
"the editors of the several volumes will be  chosen for their special qualifications in connection with the texts  to be issued under their individual supervision, but familiarity with  the practical needs of the classroom, no less than sound scholarship,  will characterize the editing of every book in the series","0.0"
"in connection with each text, a critical and historical introduction,  including a sketch of the life of the author and his relation to the  thought of his time, critical opinions of the work in question chosen  from the great body of english criticism, and, where possible, a  portrait of the author, will be given","1.0"
"ample explanatory notes of such  passages in the text as call for special attention will be supplied,  but irrelevant annotation and explanations of the obvious will be  rigidly excluded","0.0"
"charles e","1.0"
"merrill co","1.0"
"life of emerson      ralph waldo emerson was born in boston, may 25, 1803","1.0"
"he was descended  from a long line of new england ministers, men of refinement and  education","1.0"
"as a school boy he was quiet and retiring, reading a great  deal, but not paying much attention to his lessons","1.0"
"he entered harvard  at the early age of fourteen, but never attained a high rank there,  although he took a prize for an essay on socrates, and was made class  poet after several others had declined","0.0"
"next to his reserve and the  faultless propriety of his conduct, his contemporaries at college  seemed most impressed by the great maturity of his mind","0.0"
"emerson  appears never to have been really a boy","0.0"
"he was always serene and  thoughtful, impressing all who knew him with that spirituality which  was his most distinguishing characteristic","1.0"
"after graduating from college he taught school for a time, and then  entered the harvard divinity school under dr","0.0"
"channing, the great  unitarian preacher","1.0"
"although he was not strong enough to attend all  the lectures of the divinity course, the college authorities deemed  the name emerson sufficient passport to the ministry","0.0"
"he was  accordingly  approbated to preach  by the middlesex association of  ministers on october 10, 1826","0.0"
"as a preacher, emerson was interesting,  though not particularly original","1.0"
"his talent seems to have been in  giving new meaning to the old truths of religion","0.0"
"one of his hearers  has said   in looking back on his preaching i find he has impressed  truths to which i always assented in such a manner as to make them  appear new, like a clearer revelation","0.0"
"although his sermons were  always couched in scriptural language, they were touched with the  light of that genius which avoids the conventional and commonplace","1.0"
"in  his other pastoral duties emerson was not quite so successful","0.0"
"it is  characteristic of his deep humanity and his dislike for all fuss and  commonplace that he appeared to least advantage at a funeral","0.0"
"a  connoisseur in such matters, an old sexton, once remarked that on such  occasions  he did not appear at ease at all","0.0"
"to tell the truth, in my  opinion, that young man was not born to be a minister","1.0"
"emerson did not long remain a minister","0.0"
"in 1832 he preached a sermon  in which he announced certain views in regard to the communion service  which were disapproved by a large part of his congregation","1.0"
"he found  it impossible to continue preaching, and, with the most friendly  feelings on both sides, he parted from his congregation","1.0"
"a few months later (1833) he went to europe for a short year of  travel","0.0"
"while abroad, he visited walter savage landor, coleridge and  wordsworth, and thomas carlyle","1.0"
"this visit to carlyle was to both men  a most interesting experience","1.0"
"they parted feeling that they had much  intellectually in common","0.0"
"this belief fostered a sympathy which, by  the time they had discovered how different they really were, had grown  so strong a habit that they always kept up their intimacy","1.0"
"this year  of travel opened emerson's eyes to many things of which he had  previously been ignorant  he had profited by detachment from the  concerns of a limited community and an isolated church","1.0"
