"Text","Binary_Sentiment","Cont_Sentiment"
"the american scholar","1.0","0.18588997423648834"
"this address was delivered at cambridge in 1837, before the       harvard chapter of the phi beta kappa society, a college       fraternity composed of the first twenty five men in each       graduating class","0.0","-3.014472484588623"
"the society has annual meetings, which       have been the occasion for addresses from the most       distinguished scholars and thinkers of the day","1.0","4.1039047241210938"
"mr  president and gentlemen,    i greet you on the recommencement of our literary year","1.0","5.5359964370727539"
"our  anniversary is one of hope, and, perhaps, not enough of labor","1.0","2.40555739402771"
"we do  not meet for games of strength 1  or skill, for the recitation of  histories, tragedies, and odes, like the ancient greeks  for  parliaments of love and poesy, like the troubadours  2  nor for the  advancement of science, like our co temporaries in the british and  european capitals","1.0","0.59301173686981201"
"thus far, our holiday has been simply a friendly  sign of the survival of the love of letters amongst a people too busy  to give to letters any more","0.0","-0.83054655790328979"
"as such it is precious as the sign of an  indestructible instinct","1.0","0.18725199997425079"
"perhaps the time is already come when it  ought to be, and will be, something else  when the sluggard intellect  of this continent will look from under its iron lids and fill the  postponed expectation of the world with something better than the  exertions of mechanical skill","0.0","-0.96784138679504395"
"our day of dependence, our long  apprenticeship to the learning of other lands, draws to a close","1.0","3.6704964637756348"
"the  millions that around us are rushing into life cannot always be fed on  the sere remains of foreign harvests","1.0","2.6418607234954834"
"3  events, actions arise that  must be sung, that will sing themselves","1.0","0.98669552803039551"
"who can doubt that poetry  will revive and lead in a new age, as the star in the constellation  harp, which now flames in our zenith, astronomers announce, shall one  day be the pole star 4  for a thousand years?","1.0","0.11308138072490692"
"in the light of this hope i accept the topic which not only usage but  the nature of our association seem to prescribe to this day,  the  american scholar","1.0","0.3729560375213623"
"year by year we come up hither to read one  more chapter of his biography","0.0","-0.30075722932815552"
"let us inquire what new lights, new  events, and more days have thrown on his character, his duties, and  his hopes","0.0","-0.90892684459686279"
"it is one of those fables which out of an unknown antiquity convey an  unlooked for wisdom, that the gods, in the beginning, divided man into  men, that he might be more helpful to himself  just as the hand was  divided into fingers, the better to answer its end","0.0","-1.0731614828109741"
"5     the old fable covers a doctrine ever new and sublime  that there is  one man,  present to all particular men only partially, or through one  faculty  and that you must take the whole society to find the whole  man","1.0","0.0027389675378799438"
"man is not a farmer, or a professor, or an engineer, but he is  all","0.0","-2.4322402477264404"
"man is priest, and scholar, and statesman, and producer, and  soldier","1.0","2.474146842956543"
"in the  divided  or social state these functions are parceled  out to individuals, each of whom aims to do his stint 6  of the joint  work, whilst each other performs his","0.0","-1.2492821216583252"
"the fable implies that the  individual, to possess himself, must sometimes return from his own  labor to embrace all the other laborers","1.0","4.3838768005371094"
"but, unfortunately, this  original unit, this fountain of power, has been so distributed to  multitudes, has been so minutely subdivided and peddled out, that it  is spilled into drops, and cannot be gathered","1.0","2.4672808647155762"
"the state of society is  one in which the members have suffered amputation from the trunk and  strut about so many walking monsters,  a good finger, a neck, a  stomach, an elbow, but never a man","1.0","2.1253242492675781"
"man is thus metamorphosed into a thing, into many things","1.0","0.50837939977645874"
"the planter,  who is man sent out into the field to gather food, is seldom cheered  by any idea of the true dignity of his ministry","1.0","1.886451244354248"
"he sees his bushel  and his cart, and nothing beyond, and sinks into the farmer, instead  of man on the farm","0.0","-1.8895697593688965"
"the tradesman scarcely ever gives an ideal worth  to his work, but is ridden 7  by the routine of his craft, and the  soul is subject to dollars","0.0","-2.6914284229278564"
"the priest becomes a form  the attorney a  statute book  the mechanic a machine  the sailor a rope of the ship","1.0","0.02086368203163147"
"in this distribution of functions the scholar is the delegated  intellect","1.0","2.0925893783569336"
"in the right state he is  man thinking","0.0","-0.22329126298427582"
"in the degenerate  state, when the victim of society, he tends to become a mere thinker,  or, still worse, the parrot of other men's thinking","0.0","-0.61635661125183105"
"in this view of him, as man thinking, the whole theory of his office  is contained","1.0","2.2949225902557373"
"him nature solicits with all her placid, all her  monitory pictures","1.0","1.0486832857131958"
"8  him the past instructs","1.0","1.90355384349823"
"him the future invites","0.0","-0.96702277660369873"
"is not indeed every man a student, and do not all things exist for the  student's behoof?","0.0","-2.0445137023925781"
"and, finally, is not the true scholar the only true  master?","0.0","-0.28764846920967102"
"but as the old oracle said,  all things have two handles   beware of the wrong one","0.0","-4.5860500335693359"
"9  in life, too often, the scholar errs with  mankind and forfeits his privilege","1.0","1.0245361328125"
"let us see him in his school, and  consider him in reference to the main influences he receives","0.0","-3.5925087928771973"
"i","0.0","-0.087730929255485535"
"the first in time and the first in importance of the influences upon  the mind is that of nature","1.0","3.2886824607849121"
"every day, the sun  10  and, after sunset,  night and her stars","0.0","-0.041032828390598297"
"ever the winds blow  ever the grass grows","0.0","-0.72465837001800537"
"every  day, men and women, conversing, beholding and beholden","1.0","1.3264780044555664"
"11  the scholar  must needs stand wistful and admiring before this great spectacle","0.0","-1.854313850402832"
"he  must settle its value in his mind","1.0","0.25743180513381958"
"what is nature to him?","0.0","-1.2877542972564697"
"there is never  a beginning, there is never an end, to the inexplicable continuity of  this web of god, but always circular power returning into itself","0.0","-1.3303184509277344"
"12   therein it resembles his own spirit, whose beginning, whose ending, he  never can find,  so entire, so boundless","0.0","-1.8538615703582764"
