"Text","Binary_Sentiment","Cont_Sentiment"
"the american scholar","1.0","6.1476774215698242"
"this address was delivered at cambridge in 1837, before the       harvard chapter of the phi beta kappa society, a college       fraternity composed of the first twenty five men in each       graduating class","1.0","4.3236594200134277"
"the society has annual meetings, which       have been the occasion for addresses from the most       distinguished scholars and thinkers of the day","1.0","5.3429160118103027"
"mr  president and gentlemen,    i greet you on the recommencement of our literary year","1.0","4.6030435562133789"
"our  anniversary is one of hope, and, perhaps, not enough of labor","0.0","-7.131525993347168"
"we do  not meet for games of strength 1  or skill, for the recitation of  histories, tragedies, and odes, like the ancient greeks  for  parliaments of love and poesy, like the troubadours  2  nor for the  advancement of science, like our co temporaries in the british and  european capitals","0.0","-1.2041773796081543"
"thus far, our holiday has been simply a friendly  sign of the survival of the love of letters amongst a people too busy  to give to letters any more","0.0","-1.8764839172363281"
"as such it is precious as the sign of an  indestructible instinct","1.0","0.61529445648193359"
"perhaps the time is already come when it  ought to be, and will be, something else  when the sluggard intellect  of this continent will look from under its iron lids and fill the  postponed expectation of the world with something better than the  exertions of mechanical skill","0.0","-4.2140932083129883"
"our day of dependence, our long  apprenticeship to the learning of other lands, draws to a close","0.0","-9.0492744445800781"
"the  millions that around us are rushing into life cannot always be fed on  the sere remains of foreign harvests","1.0","1.0949231386184692"
"3  events, actions arise that  must be sung, that will sing themselves","1.0","1.5594987869262695"
"who can doubt that poetry  will revive and lead in a new age, as the star in the constellation  harp, which now flames in our zenith, astronomers announce, shall one  day be the pole star 4  for a thousand years?","1.0","1.0083675384521484"
"in the light of this hope i accept the topic which not only usage but  the nature of our association seem to prescribe to this day,  the  american scholar","1.0","4.2588996887207031"
"year by year we come up hither to read one  more chapter of his biography","1.0","12.79515266418457"
"let us inquire what new lights, new  events, and more days have thrown on his character, his duties, and  his hopes","0.0","-4.5024666786193848"
"it is one of those fables which out of an unknown antiquity convey an  unlooked for wisdom, that the gods, in the beginning, divided man into  men, that he might be more helpful to himself  just as the hand was  divided into fingers, the better to answer its end","0.0","-0.64899969100952148"
"5     the old fable covers a doctrine ever new and sublime  that there is  one man,  present to all particular men only partially, or through one  faculty  and that you must take the whole society to find the whole  man","1.0","4.4893398284912109"
"man is not a farmer, or a professor, or an engineer, but he is  all","1.0","2.3282618522644043"
"man is priest, and scholar, and statesman, and producer, and  soldier","1.0","7.0124826431274414"
"in the  divided  or social state these functions are parceled  out to individuals, each of whom aims to do his stint 6  of the joint  work, whilst each other performs his","1.0","0.56735014915466309"
"the fable implies that the  individual, to possess himself, must sometimes return from his own  labor to embrace all the other laborers","1.0","3.5065822601318359"
"but, unfortunately, this  original unit, this fountain of power, has been so distributed to  multitudes, has been so minutely subdivided and peddled out, that it  is spilled into drops, and cannot be gathered","1.0","3.5229935646057129"
"the state of society is  one in which the members have suffered amputation from the trunk and  strut about so many walking monsters,  a good finger, a neck, a  stomach, an elbow, but never a man","1.0","5.7744598388671875"
"man is thus metamorphosed into a thing, into many things","0.0","-2.6477768421173096"
"the planter,  who is man sent out into the field to gather food, is seldom cheered  by any idea of the true dignity of his ministry","0.0","-2.0041182041168213"
"he sees his bushel  and his cart, and nothing beyond, and sinks into the farmer, instead  of man on the farm","1.0","1.9758310317993164"
"the tradesman scarcely ever gives an ideal worth  to his work, but is ridden 7  by the routine of his craft, and the  soul is subject to dollars","0.0","-2.3661742210388184"
"the priest becomes a form  the attorney a  statute book  the mechanic a machine  the sailor a rope of the ship","1.0","6.7448554039001465"
"in this distribution of functions the scholar is the delegated  intellect","1.0","4.354578971862793"
"in the right state he is  man thinking","1.0","5.1633601188659668"
"in the degenerate  state, when the victim of society, he tends to become a mere thinker,  or, still worse, the parrot of other men's thinking","1.0","0.12032485008239746"
"in this view of him, as man thinking, the whole theory of his office  is contained","1.0","4.620244026184082"
"him nature solicits with all her placid, all her  monitory pictures","1.0","0.93902623653411865"
"8  him the past instructs","1.0","0.89399480819702148"
"him the future invites","1.0","0.8578641414642334"
"is not indeed every man a student, and do not all things exist for the  student's behoof?","1.0","0.52733230590820312"
"and, finally, is not the true scholar the only true  master?","0.0","-3.8987960815429688"
"but as the old oracle said,  all things have two handles   beware of the wrong one","0.0","-2.9027543067932129"
"9  in life, too often, the scholar errs with  mankind and forfeits his privilege","1.0","3.6097357273101807"
"let us see him in his school, and  consider him in reference to the main influences he receives","0.0","-5.8609089851379395"
"i","0.0","-0.45609712600708008"
"the first in time and the first in importance of the influences upon  the mind is that of nature","1.0","8.4188528060913086"
"every day, the sun  10  and, after sunset,  night and her stars","1.0","8.6564302444458008"
"ever the winds blow  ever the grass grows","1.0","0.30811119079589844"
"every  day, men and women, conversing, beholding and beholden","1.0","9.7662591934204102"
"11  the scholar  must needs stand wistful and admiring before this great spectacle","1.0","2.6971871852874756"
"he  must settle its value in his mind","1.0","6.6563177108764648"
"what is nature to him?","0.0","-1.9512126445770264"
"there is never  a beginning, there is never an end, to the inexplicable continuity of  this web of god, but always circular power returning into itself","0.0","-1.132399320602417"
"12   therein it resembles his own spirit, whose beginning, whose ending, he  never can find,  so entire, so boundless","0.0","-5.0570249557495117"
"far too as her splendors  shine, system on system shooting like rays, upward, downward, without  center, without circumference,  in the mass and in the particle, nature  hastens to render account of herself to the mind","1.0","2.6343696117401123"
"classification begins","1.0","1.1410378217697144"
"to the young mind everything is individual, stands by itself","1.0","1.0672147274017334"
"by and by  it finds how to join two things and see in them one nature  then three,  then three thousand  and so, tyrannized over by its own unifying  instinct, it goes on tying things together, diminishing anomalies,  discovering roots running under ground whereby contrary and remote  things cohere and flower out from one stem","0.0","-1.0591816902160645"
"it presently learns that  since the dawn of history there has been a constant accumulation and  classifying of facts","1.0","5.5568504333496094"
"but what is classification but the perceiving that  these objects are not chaotic, and are not foreign, but have a law which  is also a law of the human mind?","0.0","-2.392432689666748"
"the astronomer discovers that geometry,  a pure abstraction of the human mind, is the measure of planetary  motion","1.0","7.4497971534729004"
"the chemist finds proportions and intelligible method throughout  matter  and science is nothing but the finding of analogy, identity, in  the most remote parts","1.0","5.3230767250061035"
"the ambitious soul sits down before each  refractory fact  one after another reduces all strange constitutions,  all new powers, to their class and their law, and goes on forever to  animate the last fiber of organization, the outskirts of nature, by  insight","1.0","3.5576052665710449"
"thus to him, to this school boy under the bending dome of day, is  suggested that he and it proceed from one root  one is leaf and one is  flower  relation, sympathy, stirring in every vein","1.0","6.2042803764343262"
"and what is that  root?","0.0","-2.404285192489624"
"is not that the soul of his soul?  a thought too bold?  a dream  too wild?","0.0","-1.3354930877685547"
"yet when this spiritual light shall have revealed the law of  more earthly natures,  when he has learned to worship the soul, and to  see that the natural philosophy that now is, is only the first  gropings of its gigantic hand,  he shall look forward to an  ever expanding knowledge as to a becoming creator","0.0","-6.7503433227539062"
"13  he shall see  that nature is the opposite of the soul, answering to it part for  part","1.0","1.5789225101470947"
"one is seal and one is print","1.0","2.7146813869476318"
"its beauty is the beauty of his  own mind","1.0","5.7736082077026367"
"its laws are the laws of his own mind","1.0","4.7737655639648438"
"nature then becomes  to him the measure of his attainments","1.0","5.2709765434265137"
"so much of nature as he is  ignorant of, so much of his own mind does he not yet possess","0.0","-0.37587213516235352"
"and, in  fine, the ancient precept,  know thyself,  14  and the modern precept,   study nature,  become at last one maxim","0.0","-2.590634822845459"
"ii","1.0","2.286860466003418"
"the next great influence into the spirit of the scholar is the  mind of the past,  in whatever form, whether of literature, of art, of  institutions, that mind is inscribed","0.0","-3.9907436370849609"
"books are the best type of the  influence of the past, and perhaps we shall get at the truth,  learn  the amount of this influence more conveniently,  by considering their  value alone","1.0","1.9627950191497803"
"the theory of books is noble","1.0","3.3027031421661377"
"the scholar of the first age received  into him the world around  brooded thereon  gave it the new  arrangement of his own mind, and uttered it again","1.0","4.9386706352233887"
"it came into him  life  it went out from him truth","0.0","-5.7162890434265137"
"it came to him short lived actions   it went out from him immortal thoughts","0.0","-6.5632286071777344"
"it came to him business  it  went from him poetry","0.0","-7.7039966583251953"
"it was dead fact  now, it is quick thought","0.0","-2.6879699230194092"
"it  can stand, and it can go","1.0","5.116330623626709"
"it now endures, it now flies, it now  inspires","1.0","0.21087372303009033"
"15  precisely in proportion to the depth of mind from which  it issued, so high does it soar, so long does it sing","0.0","-6.3160176277160645"
"or, i might say, it depends on how far the process had gone, of  transmuting life into truth","0.0","-5.0251932144165039"
"in proportion to the completeness of the  distillation, so will the purity and imperishableness of the product  be","0.0","-3.9128050804138184"
"but none is quite perfect","1.0","1.2863030433654785"
"as no air pump can by any means make a  perfect vacuum, 16  so neither can any artist entirely exclude the  conventional, the local, the perishable from his book, or write a book  of pure thought, that shall be as efficient, in all respects, to a  remote posterity, as to contemporaries, or rather to the second age","0.0","-6.354578971862793"
"each age, it is found, must write its own books  or rather, each  generation for the next succeeding","1.0","0.46296268701553345"
"the books of an older period will  not fit this","1.0","2.8448524475097656"
"yet hence arises a grave mischief","0.0","-1.8741130828857422"
"the sacredness which attaches to  the act of creation, the act of thought, is instantly transferred to  the record","1.0","0.51775407791137695"
"the poet chanting was felt to be a divine man","1.0","2.4870774745941162"
"henceforth  the chant is divine also","1.0","2.5027265548706055"
"the writer was a just and wise spirit","1.0","4.7269539833068848"
"henceforward it is settled the book is perfect  as love of the hero  corrupts into worship of his statue","0.0","-0.89854955673217773"
"instantly the book becomes  noxious","0.0","-3.6184132099151611"
"17  the guide is a tyrant","1.0","0.76716947555541992"
"we sought a brother, and lo, a  governor","1.0","3.2811050415039062"
"the sluggish and perverted mind of the multitude, always  slow to open to the incursions of reason, having once so opened,  having once received this book, stands upon it, and makes an outcry if  it is disparaged","1.0","3.4961168766021729"
"colleges are built on it","1.0","3.9683353900909424"
"books are written on it by  thinkers, not by man thinking, by men of talent, that is, who start  wrong, who set out from accepted dogmas, not from their own sight of  principles","0.0","-6.0064606666564941"
"meek young men grow up in libraries, believing it their  duty to accept the views which cicero, which locke, 18  which  bacon, 19  have given  forgetful that cicero, locke and bacon were  only young men in libraries when they wrote these books","0.0","-2.3347489833831787"
"hence, instead of man thinking, we have the bookworm","1.0","0.81372010707855225"
"hence the  book learned class, who value books, as such  not as related to nature  and the human constitution, but as making a sort of third estate 20   with the world and soul","0.0","-3.2688250541687012"
"hence the restorers of readings, 21  the  emendators, 22  the bibliomaniacs 23  of all degrees","0.0","-0.18946433067321777"
"this is bad   this is worse than it seems","0.0","-5.1497907638549805"
"books are the best of things, well used  abused, among the worst","0.0","-1.5933716297149658"
"what  is the right use?","1.0","5.248138427734375"
"what is the one end which all means go to effect?","0.0","-0.11133527755737305"
"they are for nothing but to inspire","1.0","2.0665969848632812"
"24  i had better never see a book  than to be warped by its attraction clean out of my own orbit, and  made a satellite instead of a system","1.0","5.856689453125"
"the one thing in the world of  value is the active soul,  the soul, free, sovereign, active","1.0","3.5245985984802246"
"this  every man is entitled to  this every man contains within him, although  in almost all men obstructed, and as yet unborn","1.0","4.0628209114074707"
"the soul active sees  absolute truth and utters truth, or creates","1.0","4.8004307746887207"
"in this action it is  genius  not the privilege of here and there a favorite, but the sound  estate of every man","1.0","4.9509687423706055"
"25  in its essence it is progressive","0.0","-5.9506063461303711"
"the book,  the college, the school of art, the institution of any kind, stop with  some past utterance of genius","1.0","4.5559215545654297"
"this is good, say they,  let us hold by  this","1.0","0.70386743545532227"
"they pin me down","1.0","0.17214488983154297"
"26  they look backward and not forward","0.0","-3.8635177612304688"
"but  genius always looks forward","1.0","2.5097408294677734"
