"Text","Binary_Sentiment","Cont_Sentiment"
"frankenstein,    or the modern prometheus      by    mary wollstonecraft (godwin) shelley          letter 1      st  petersburgh, dec  11th, 17      to mrs  saville, england    you will rejoice to hear that no disaster has accompanied the  commencement of an enterprise which you have regarded with such evil  forebodings","0.0","-1.6994787454605103"
"i arrived here yesterday, and my first task is to assure  my dear sister of my welfare and increasing confidence in the success  of my undertaking","1.0","3.7880179882049561"
"i am already far north of london, and as i walk in the streets of  petersburgh, i feel a cold northern breeze play upon my cheeks, which  braces my nerves and fills me with delight","1.0","4.0767345428466797"
"do you understand this  feeling?","0.0","-0.29566708207130432"
"this breeze, which has travelled from the regions towards  which i am advancing, gives me a foretaste of those icy climes","1.0","2.6882920265197754"
"inspirited by this wind of promise, my daydreams become more fervent  and vivid","0.0","-1.0917742252349854"
"i try in vain to be persuaded that the pole is the seat of  frost and desolation  it ever presents itself to my imagination as the  region of beauty and delight","1.0","5.8183956146240234"
"there, margaret, the sun is forever  visible, its broad disk just skirting the horizon and diffusing a  perpetual splendour","0.0","-2.9043648242950439"
"there  for with your leave, my sister, i will put  some trust in preceding navigators  there snow and frost are banished   and, sailing over a calm sea, we may be wafted to a land surpassing in  wonders and in beauty every region hitherto discovered on the habitable  globe","1.0","5.1125049591064453"
"its productions and features may be without example, as the  phenomena of the heavenly bodies undoubtedly are in those undiscovered  solitudes","1.0","1.3329942226409912"
"what may not be expected in a country of eternal light?","0.0","-1.1561248302459717"
"i  may there discover the wondrous power which attracts the needle and may  regulate a thousand celestial observations that require only this  voyage to render their seeming eccentricities consistent forever","0.0","-1.0791860818862915"
"i  shall satiate my ardent curiosity with the sight of a part of the world  never before visited, and may tread a land never before imprinted by  the foot of man","0.0","-2.0102519989013672"
"these are my enticements, and they are sufficient to  conquer all fear of danger or death and to induce me to commence this  laborious voyage with the joy a child feels when he embarks in a little  boat, with his holiday mates, on an expedition of discovery up his  native river","0.0","-0.42781084775924683"
"but supposing all these conjectures to be false, you  cannot contest the inestimable benefit which i shall confer on all  mankind, to the last generation, by discovering a passage near the pole  to those countries, to reach which at present so many months are  requisite  or by ascertaining the secret of the magnet, which, if at  all possible, can only be effected by an undertaking such as mine","0.0","-3.3685617446899414"
"these reflections have dispelled the agitation with which i began my  letter, and i feel my heart glow with an enthusiasm which elevates me  to heaven, for nothing contributes so much to tranquillize the mind as  a steady purpose  a point on which the soul may fix its intellectual  eye","0.0","-1.1149896383285522"
"this expedition has been the favourite dream of my early years","1.0","0.26289409399032593"
"i  have read with ardour the accounts of the various voyages which have  been made in the prospect of arriving at the north pacific ocean  through the seas which surround the pole","1.0","0.8469398021697998"
"you may remember that a  history of all the voyages made for purposes of discovery composed the  whole of our good uncle thomas' library","1.0","3.1647212505340576"
"my education was neglected,  yet i was passionately fond of reading","0.0","-0.28458893299102783"
"these volumes were my study  day and night, and my familiarity with them increased that regret which  i had felt, as a child, on learning that my father's dying injunction  had forbidden my uncle to allow me to embark in a seafaring life","1.0","1.7334451675415039"
"these visions faded when i perused, for the first time, those poets  whose effusions entranced my soul and lifted it to heaven","1.0","0.9458012580871582"
"i also  became a poet and for one year lived in a paradise of my own creation   i imagined that i also might obtain a niche in the temple where the  names of homer and shakespeare are consecrated","1.0","0.96204376220703125"
"you are well  acquainted with my failure and how heavily i bore the disappointment","0.0","-9.54632568359375"
"but just at that time i inherited the fortune of my cousin, and my  thoughts were turned into the channel of their earlier bent","0.0","-1.3701964616775513"
"six years have passed since i resolved on my present undertaking","1.0","0.95218014717102051"
