"Text","Binary_Sentiment","Cont_Sentiment"
"the jungle book    by rudyard kipling        contents         mowgli's brothers       hunting song of the seeonee pack       kaa's hunting       road song of the bandar log        tiger!","0.0","-3.3473453521728516"
"tiger!","0.0","-0.40389406681060791"
"mowgli's song       the white seal       lukannon        rikki tikki tavi        darzee's chant       toomai of the elephants       shiv and the grasshopper       her majesty's servants       parade song of the camp animals          mowgli's brothers         now rann the kite brings home the night          that mang the bat sets free         the herds are shut in byre and hut          for loosed till dawn are we","1.0","1.8941214084625244"
"this is the hour of pride and power,          talon and tush and claw","1.0","3.4988865852355957"
"oh, hear the call!  good hunting all          that keep the jungle law!","1.0","1.1655051708221436"
"night song in the jungle    it was seven o'clock of a very warm evening in the seeonee hills when  father wolf woke up from his day's rest, scratched himself, yawned, and  spread out his paws one after the other to get rid of the sleepy feeling  in their tips","1.0","0.22865070402622223"
"mother wolf lay with her big gray nose dropped across her  four tumbling, squealing cubs, and the moon shone into the mouth of the  cave where they all lived","1.0","4.2622461318969727"
"augrh!","1.0","0.54658794403076172"
"said father wolf","0.0","-0.33770298957824707"
"it is time to  hunt again","1.0","0.5072820782661438"
"he was going to spring down hill when a little shadow with  a bushy tail crossed the threshold and whined   good luck go with you, o  chief of the wolves","0.0","-1.5266330242156982"
"and good luck and strong white teeth go with noble  children that they may never forget the hungry in this world","1.0","3.7487802505493164"
"it was the jackal  tabaqui, the dish licker  and the wolves of india  despise tabaqui because he runs about making mischief, and telling  tales, and eating rags and pieces of leather from the village  rubbish heaps","0.0","-0.1571505218744278"
"but they are afraid of him too, because tabaqui, more  than anyone else in the jungle, is apt to go mad, and then he forgets  that he was ever afraid of anyone, and runs through the forest biting  everything in his way","0.0","-3.677372932434082"
"even the tiger runs and hides when little tabaqui  goes mad, for madness is the most disgraceful thing that can overtake  a wild creature","1.0","0.93629872798919678"
"we call it hydrophobia, but they call it dewanee  the  madness  and run","1.0","0.014321029186248779"
"enter, then, and look,  said father wolf stiffly,  but there is no food  here","0.0","-2.7375383377075195"
"for a wolf, no,  said tabaqui,  but for so mean a person as myself a  dry bone is a good feast","1.0","0.37899070978164673"
"who are we, the gidur log  the jackal people ,  to pick and choose?","0.0","-5.1240377426147461"
"he scuttled to the back of the cave, where he  found the bone of a buck with some meat on it, and sat cracking the end  merrily","0.0","-1.5470341444015503"
"all thanks for this good meal,  he said, licking his lips","1.0","1.6527652740478516"
"how  beautiful are the noble children!","1.0","3.2358250617980957"
"how large are their eyes!","1.0","4.057276725769043"
"and so young  too!","0.0","-3.6608266830444336"
"indeed, indeed, i might have remembered that the children of kings  are men from the beginning","0.0","-0.43697550892829895"
"now, tabaqui knew as well as anyone else that there is nothing so  unlucky as to compliment children to their faces","0.0","-0.67636537551879883"
"it pleased him to see  mother and father wolf look uncomfortable","1.0","5.787175178527832"
"tabaqui sat still, rejoicing in the mischief that he had made, and then  he said spitefully      shere khan, the big one, has shifted his hunting grounds","1.0","0.82920157909393311"
"he will hunt  among these hills for the next moon, so he has told me","0.0","-1.2527673244476318"
"shere khan was the tiger who lived near the waingunga river, twenty  miles away","0.0","-1.0556108951568604"
"he has no right!","1.0","0.27680689096450806"
"father wolf began angrily   by the law of the jungle  he has no right to change his quarters without due warning","0.0","-0.4477536678314209"
"he will  frighten every head of game within ten miles, and i  i have to kill for  two, these days","0.0","-3.5321602821350098"
"his mother did not call him lungri  the lame one  for nothing,  said  mother wolf quietly","0.0","-3.8655343055725098"
"he has been lame in one foot from his birth","0.0","-9.0927324295043945"
"that  is why he has only killed cattle","1.0","1.6968469619750977"
"now the villagers of the waingunga are  angry with him, and he has come here to make our villagers angry","1.0","4.3487014770507812"
"they will scour the jungle for him when he is far away, and we and our  children must run when the grass is set alight","1.0","2.0547859668731689"
"indeed, we are very  grateful to shere khan!","1.0","2.4202556610107422"
"shall i tell him of your gratitude?","0.0","-1.2359517812728882"
"said tabaqui","0.0","-0.57921338081359863"
"out!","1.0","0.35121700167655945"
"snapped father wolf","1.0","0.30757933855056763"
"out and hunt with thy master","1.0","2.9355220794677734"
"thou hast  done harm enough for one night","0.0","-2.4991316795349121"
"i go,  said tabaqui quietly","1.0","1.7472020387649536"
"ye can hear shere khan below in the  thickets","0.0","-0.73359900712966919"
"i might have saved myself the message","0.0","-2.1273760795593262"
"father wolf listened, and below in the valley that ran down to a little  river he heard the dry, angry, snarly, singsong whine of a tiger who has  caught nothing and does not care if all the jungle knows it","0.0","-0.022895142436027527"
"the fool!","0.0","-0.29528528451919556"
"said father wolf","0.0","-0.33770298957824707"
"to begin a night's work with that noise!","1.0","2.248042106628418"
"does he think that our buck are like his fat waingunga bullocks?","0.0","-1.3033825159072876"
"h'sh","1.0","0.23416292667388916"
"it is neither bullock nor buck he hunts to night,  said mother  wolf","0.0","-6.7839241027832031"
"it is man","1.0","0.55135643482208252"
"the whine had changed to a sort of humming purr that seemed to come  from every quarter of the compass","0.0","-4.0898838043212891"
"it was the noise that bewilders  woodcutters and gypsies sleeping in the open, and makes them run  sometimes into the very mouth of the tiger","1.0","2.8605451583862305"
"man!","1.0","0.6200442910194397"
"said father wolf, showing all his white teeth","0.0","-0.17110416293144226"
"faugh!","1.0","0.54658794403076172"
"are there  not enough beetles and frogs in the tanks that he must eat man, and on  our ground too!","1.0","0.27345722913742065"
"the law of the jungle, which never orders anything without a reason,  forbids every beast to eat man except when he is killing to show his  children how to kill, and then he must hunt outside the hunting grounds  of his pack or tribe","0.0","-0.18087470531463623"
"the real reason for this is that man killing  means, sooner or later, the arrival of white men on elephants, with  guns, and hundreds of brown men with gongs and rockets and torches","1.0","3.7629504203796387"
"then everybody in the jungle suffers","0.0","-8.5554180145263672"
"the reason the beasts give among  themselves is that man is the weakest and most defenseless of all living  things, and it is unsportsmanlike to touch him","1.0","3.088770866394043"
"they say too  and it is  true  that man eaters become mangy, and lose their teeth","1.0","0.076651595532894135"
"the purr grew louder, and ended in the full throated  aaarh!","1.0","2.2249236106872559"
"of the  tiger's charge","0.0","-1.5859361886978149"
"then there was a howl  an untigerish howl  from shere khan","0.0","-0.34838646650314331"
"he has  missed,  said mother wolf","0.0","-1.962078332901001"
"what is it?","0.0","-1.4647321701049805"
