"Text","Binary_Sentiment","Cont_Sentiment"
"the jungle book    by rudyard kipling        contents         mowgli's brothers       hunting song of the seeonee pack       kaa's hunting       road song of the bandar log        tiger!","0.0","-5.2337336540222168"
"tiger!","1.0","0.53096914291381836"
"mowgli's song       the white seal       lukannon        rikki tikki tavi        darzee's chant       toomai of the elephants       shiv and the grasshopper       her majesty's servants       parade song of the camp animals          mowgli's brothers         now rann the kite brings home the night          that mang the bat sets free         the herds are shut in byre and hut          for loosed till dawn are we","1.0","5.244145393371582"
"this is the hour of pride and power,          talon and tush and claw","1.0","5.6003074645996094"
"oh, hear the call!  good hunting all          that keep the jungle law!","0.0","-3.5222151279449463"
"night song in the jungle    it was seven o'clock of a very warm evening in the seeonee hills when  father wolf woke up from his day's rest, scratched himself, yawned, and  spread out his paws one after the other to get rid of the sleepy feeling  in their tips","0.0","-3.9604599475860596"
"mother wolf lay with her big gray nose dropped across her  four tumbling, squealing cubs, and the moon shone into the mouth of the  cave where they all lived","1.0","2.1054654121398926"
"augrh!","1.0","4.2881808280944824"
"said father wolf","1.0","2.6649057865142822"
"it is time to  hunt again","1.0","4.1676211357116699"
"he was going to spring down hill when a little shadow with  a bushy tail crossed the threshold and whined   good luck go with you, o  chief of the wolves","1.0","0.57738709449768066"
"and good luck and strong white teeth go with noble  children that they may never forget the hungry in this world","1.0","1.210350513458252"
"it was the jackal  tabaqui, the dish licker  and the wolves of india  despise tabaqui because he runs about making mischief, and telling  tales, and eating rags and pieces of leather from the village  rubbish heaps","1.0","3.8560078144073486"
"but they are afraid of him too, because tabaqui, more  than anyone else in the jungle, is apt to go mad, and then he forgets  that he was ever afraid of anyone, and runs through the forest biting  everything in his way","0.0","-2.1303684711456299"
"even the tiger runs and hides when little tabaqui  goes mad, for madness is the most disgraceful thing that can overtake  a wild creature","0.0","-0.22043061256408691"
"we call it hydrophobia, but they call it dewanee  the  madness  and run","1.0","4.5243477821350098"
"enter, then, and look,  said father wolf stiffly,  but there is no food  here","1.0","6.7359504699707031"
"for a wolf, no,  said tabaqui,  but for so mean a person as myself a  dry bone is a good feast","1.0","0.38365602493286133"
"who are we, the gidur log  the jackal people ,  to pick and choose?","0.0","-2.3407957553863525"
"he scuttled to the back of the cave, where he  found the bone of a buck with some meat on it, and sat cracking the end  merrily","0.0","-4.6297359466552734"
"all thanks for this good meal,  he said, licking his lips","1.0","6.5153155326843262"
"how  beautiful are the noble children!","1.0","4.669651985168457"
"how large are their eyes!","1.0","8.6876602172851562"
"and so young  too!","0.0","-8.4206266403198242"
"indeed, indeed, i might have remembered that the children of kings  are men from the beginning","0.0","-1.9119434356689453"
"now, tabaqui knew as well as anyone else that there is nothing so  unlucky as to compliment children to their faces","1.0","1.3839216232299805"
"it pleased him to see  mother and father wolf look uncomfortable","1.0","6.8913073539733887"
"tabaqui sat still, rejoicing in the mischief that he had made, and then  he said spitefully      shere khan, the big one, has shifted his hunting grounds","0.0","-1.3229537010192871"
"he will hunt  among these hills for the next moon, so he has told me","0.0","-3.0465328693389893"
"shere khan was the tiger who lived near the waingunga river, twenty  miles away","0.0","-2.01676344871521"
"he has no right!","1.0","2.1350159645080566"
"father wolf began angrily   by the law of the jungle  he has no right to change his quarters without due warning","0.0","-2.3847558498382568"
"he will  frighten every head of game within ten miles, and i  i have to kill for  two, these days","0.0","-4.5414061546325684"
"his mother did not call him lungri  the lame one  for nothing,  said  mother wolf quietly","0.0","-1.3077719211578369"
"he has been lame in one foot from his birth","0.0","-3.0181939601898193"
"that  is why he has only killed cattle","1.0","2.7315330505371094"
"now the villagers of the waingunga are  angry with him, and he has come here to make our villagers angry","1.0","3.777928352355957"
"they will scour the jungle for him when he is far away, and we and our  children must run when the grass is set alight","1.0","3.2243545055389404"
"indeed, we are very  grateful to shere khan!","1.0","5.3571262359619141"
"shall i tell him of your gratitude?","0.0","-5.0321307182312012"
"said tabaqui","1.0","3.282764196395874"
"out!","1.0","3.3738627433776855"
"snapped father wolf","1.0","5.6808681488037109"
"out and hunt with thy master","1.0","6.3488459587097168"
"thou hast  done harm enough for one night","0.0","-1.9695262908935547"
"i go,  said tabaqui quietly","1.0","4.8638849258422852"
"ye can hear shere khan below in the  thickets","0.0","-2.5719494819641113"
"i might have saved myself the message","0.0","-1.1789374351501465"
"father wolf listened, and below in the valley that ran down to a little  river he heard the dry, angry, snarly, singsong whine of a tiger who has  caught nothing and does not care if all the jungle knows it","1.0","0.91226959228515625"
"the fool!","0.0","-3.1372835636138916"
"said father wolf","1.0","2.6649057865142822"
"to begin a night's work with that noise!","0.0","-3.795903205871582"
"does he think that our buck are like his fat waingunga bullocks?","1.0","7.7127060890197754"
"h'sh","0.0","-3.1054592132568359"
"it is neither bullock nor buck he hunts to night,  said mother  wolf","0.0","-2.4593491554260254"
"it is man","1.0","2.3291070461273193"
"the whine had changed to a sort of humming purr that seemed to come  from every quarter of the compass","0.0","-7.2642102241516113"
"it was the noise that bewilders  woodcutters and gypsies sleeping in the open, and makes them run  sometimes into the very mouth of the tiger","1.0","0.20014560222625732"
"man!","1.0","4.158292293548584"
"said father wolf, showing all his white teeth","1.0","3.1731607913970947"
"faugh!","1.0","4.2881808280944824"
"are there  not enough beetles and frogs in the tanks that he must eat man, and on  our ground too!","1.0","2.9080531597137451"
"the law of the jungle, which never orders anything without a reason,  forbids every beast to eat man except when he is killing to show his  children how to kill, and then he must hunt outside the hunting grounds  of his pack or tribe","0.0","-2.4168486595153809"
"the real reason for this is that man killing  means, sooner or later, the arrival of white men on elephants, with  guns, and hundreds of brown men with gongs and rockets and torches","1.0","6.5183873176574707"
"then everybody in the jungle suffers","1.0","0.72067117691040039"
"the reason the beasts give among  themselves is that man is the weakest and most defenseless of all living  things, and it is unsportsmanlike to touch him","1.0","3.4044885635375977"
"they say too  and it is  true  that man eaters become mangy, and lose their teeth","1.0","7.1513276100158691"
"the purr grew louder, and ended in the full throated  aaarh!","1.0","5.4721417427062988"
"of the  tiger's charge","1.0","1.4676203727722168"
