"Text","Binary_Sentiment","Cont_Sentiment"
"i      one morning, when gregor samsa woke from troubled dreams, he found  himself transformed in his bed into a horrible vermin","0.0","-2.9993462562561035"
"he lay on  his armour like back, and if he lifted his head a little he could  see his brown belly, slightly domed and divided by arches into stiff  sections","1.0","8.38037109375"
"the bedding was hardly able to cover it and seemed ready  to slide off any moment","1.0","1.3600904941558838"
"his many legs, pitifully thin compared  with the size of the rest of him, waved about helplessly as he  looked","0.0","-0.47648674249649048"
"what's happened to me?","1.0","0.24148273468017578"
"he thought","1.0","0.22569417953491211"
"it wasn't a dream","1.0","3.7507939338684082"
"his room,  a proper human room although a little too small, lay peacefully  between its four familiar walls","1.0","1.7610211372375488"
"a collection of textile samples  lay spread out on the table   samsa was a travelling salesman   and  above it there hung a picture that he had recently cut out of an  illustrated magazine and housed in a nice, gilded frame","0.0","-2.0472509860992432"
"it showed  a lady fitted out with a fur hat and fur boa who sat upright,  raising a heavy fur muff that covered the whole of her lower arm  towards the viewer","1.0","2.9896390438079834"
"gregor then turned to look out the window at the dull weather","0.0","-5.7358512878417969"
"drops of rain could be heard hitting the pane, which made him feel  quite sad","1.0","6.4433960914611816"
"how about if i sleep a little bit longer and forget all  this nonsense , he thought, but that was something he was unable to  do because he was used to sleeping on his right, and in his present  state couldn't get into that position","1.0","5.0385699272155762"
"however hard he threw  himself onto his right, he always rolled back to where he was","0.0","-5.8256053924560547"
"he  must have tried it a hundred times, shut his eyes so that he  wouldn't have to look at the floundering legs, and only stopped when  he began to feel a mild, dull pain there that he had never felt  before","1.0","1.3537386655807495"
"oh, god , he thought,  what a strenuous career it is that i've  chosen!","0.0","-7.2864632606506348"
"travelling day in and day out","1.0","6.3291435241699219"
"doing business like this  takes much more effort than doing your own business at home, and on  top of that there's the curse of travelling, worries about making  train connections, bad and irregular food, contact with different  people all the time so that you can never get to know anyone or  become friendly with them","1.0","2.125903844833374"
"it can all go to hell!","1.0","3.8823294639587402"
"he felt a  slight itch up on his belly  pushed himself slowly up on his back  towards the headboard so that he could lift his head better  found  where the itch was, and saw that it was covered with lots of little  white spots which he didn't know what to make of  and when he tried  to feel the place with one of his legs he drew it quickly back  because as soon as he touched it he was overcome by a cold shudder","0.0","-1.0183060169219971"
"he slid back into his former position","1.0","1.3623208999633789"
"getting up early all the  time , he thought,  it makes you stupid","1.0","4.5965352058410645"
"you've got to get enough  sleep","0.0","-0.52316117286682129"
"other travelling salesmen live a life of luxury","1.0","3.9423911571502686"
"for  instance, whenever i go back to the guest house during the morning  to copy out the contract, these gentlemen are always still sitting  there eating their breakfasts","1.0","3.0040364265441895"
"i ought to just try that with my  boss  i'd get kicked out on the spot","0.0","-1.75618577003479"
"but who knows, maybe that  would be the best thing for me","1.0","2.5767107009887695"
"if i didn't have my parents to  think about i'd have given in my notice a long time ago, i'd have  gone up to the boss and told him just what i think, tell him  everything i would, let him know just what i feel","0.0","-2.0905799865722656"
"he'd fall right  off his desk!","1.0","7.7381682395935059"
"and it's a funny sort of business to be sitting up  there at your desk, talking down at your subordinates from up there,  especially when you have to go right up close because the boss is  hard of hearing","0.0","-7.9167304039001465"
"well, there's still some hope  once i've got the  money together to pay off my parents' debt to him   another five or  six years i suppose   that's definitely what i'll do","0.0","-4.9437770843505859"
"that's when  i'll make the big change","1.0","1.1652493476867676"
"first of all though, i've got to get up,  my train leaves at five","0.0","-0.48107194900512695"
"and he looked over at the alarm clock, ticking on the chest of  drawers","0.0","-6.4989838600158691"
