"Text","Sentiment"
"notes from the underground    fyodor dostoyevsky            part i    underground           the author of the diary and the diary itself       are, of course, imaginary","1.0"
"nevertheless it is clear       that such persons as the writer of these notes       not only may, but positively must, exist in our       society, when we consider the circumstances in       the midst of which our society is formed","1.0"
"i have       tried to expose to the view of the public more       distinctly than is commonly done, one of the       characters of the recent past","0.0"
"he is one of the       representatives of a generation still living","1.0"
"in this       fragment, entitled  underground,  this person       introduces himself and his views, and, as it were,       tries to explain the causes owing to which he has       made his appearance and was bound to make his       appearance in our midst","1.0"
"in the second fragment       there are added the actual notes of this person       concerning certain events in his life","0.0"
"author's note","0.0"
"i    i am a sick man","1.0"
"","0.0"
"","0.0"
"","0.0"
"i am a spiteful man","0.0"
"i am an unattractive man","0.0"
"i  believe my liver is diseased","1.0"
"however, i know nothing at all about my  disease, and do not know for certain what ails me","1.0"
"i don't consult a  doctor for it, and never have, though i have a respect for medicine and  doctors","1.0"
"besides, i am extremely superstitious, sufficiently so to  respect medicine, anyway (i am well educated enough not to be  superstitious, but i am superstitious)","1.0"
"no, i refuse to consult a  doctor from spite","1.0"
"that you probably will not understand","0.0"
"well, i  understand it, though","0.0"
"of course, i can't explain who it is precisely  that i am mortifying in this case by my spite  i am perfectly well  aware that i cannot  pay out  the doctors by not consulting them  i  know better than anyone that by all this i am only injuring myself and  no one else","1.0"
"but still, if i don't consult a doctor it is from spite","1.0"
"my liver is bad, well  let it get worse","0.0"
"i have been going on like that for a long time  twenty years","0.0"
"now i am  forty","0.0"
"i used to be in the government service, but am no longer","0.0"
"i  was a spiteful official","0.0"
"i was rude and took pleasure in being so","1.0"
"i  did not take bribes, you see, so i was bound to find a recompense in  that, at least","0.0"
"(a poor jest, but i will not scratch it out","0.0"
"i wrote  it thinking it would sound very witty  but now that i have seen myself  that i only wanted to show off in a despicable way, i will not scratch  it out on purpose","0.0"
"when petitioners used to come for information to the table at which i  sat, i used to grind my teeth at them, and felt intense enjoyment when  i succeeded in making anybody unhappy","1.0"
"i almost did succeed","0.0"
"for the  most part they were all timid people  of course, they were petitioners","0.0"
"but of the uppish ones there was one officer in particular i could not  endure","0.0"
"he simply would not be humble, and clanked his sword in a  disgusting way","0.0"
"i carried on a feud with him for eighteen months over  that sword","0.0"
"at last i got the better of him","0.0"
"he left off clanking it","0.0"
"that happened in my youth, though","1.0"
"but do you know, gentlemen, what was the chief point about my spite","0.0"
"why, the whole point, the real sting of it lay in the fact that  continually, even in the moment of the acutest spleen, i was inwardly  conscious with shame that i was not only not a spiteful but not even an  embittered man, that i was simply scaring sparrows at random and  amusing myself by it","0.0"
"i might foam at the mouth, but bring me a doll  to play with, give me a cup of tea with sugar in it, and maybe i should  be appeased","1.0"
"i might even be genuinely touched, though probably i  should grind my teeth at myself afterwards and lie awake at night with  shame for months after","1.0"
"that was my way","1.0"
"i was lying when i said just now that i was a spiteful official","0.0"
"i was  lying from spite","0.0"
"i was simply amusing myself with the petitioners and  with the officer, and in reality i never could become spiteful","0.0"
"i was  conscious every moment in myself of many, very many elements absolutely  opposite to that","0.0"
"i felt them positively swarming in me, these  opposite elements","1.0"
"i knew that they had been swarming in me all my life  and craving some outlet from me, but i would not let them, would not  let them, purposely would not let them come out","0.0"
"they tormented me  till i was ashamed  they drove me to convulsions and  sickened me, at  last, how they sickened me","1.0"
"now, are not you fancying, gentlemen, that  i am expressing remorse for something now, that i am asking your  forgiveness for something","1.0"
"i am sure you are fancying that","1.0"
"","0.0"
"","0.0"
"however, i assure you i do not care if you are","0.0"
"","0.0"
"","0.0"
"","0.0"
"it was not only that i could not become spiteful, i did not know how to  become anything  neither spiteful nor kind, neither a rascal nor an  honest man, neither a hero nor an insect","0.0"
"now, i am living out my life  in my corner, taunting myself with the spiteful and useless consolation  that an intelligent man cannot become anything seriously, and it is  only the fool who becomes anything","1.0"
"yes, a man in the nineteenth  century must and morally ought to be pre eminently a characterless  creature  a man of character, an active man is pre eminently a limited  creature","1.0"
"that is my conviction of forty years","1.0"
"i am forty years old  now, and you know forty years is a whole lifetime  you know it is  extreme old age","1.0"
"to live longer than forty years is bad manners, is  vulgar, immoral","0.0"
"who does live beyond forty","0.0"
"answer that, sincerely  and honestly i will tell you who do  fools and worthless fellows","1.0"
"i  tell all old men that to their face, all these venerable old men, all  these silver haired and reverend seniors","1.0"
"i tell the whole world that  to its face","1.0"
"i have a right to say so, for i shall go on living to  sixty myself","1.0"
"to seventy","0.0"
"to eighty","1.0"
"","0.0"
"","0.0"
"","0.0"
"stay, let me take breath","0.0"
"","0.0"
"","0.0"
