"Text","Binary_Sentiment","Cont_Sentiment"
"notes from the underground    fyodor dostoyevsky            part i    underground           the author of the diary and the diary itself       are, of course, imaginary","0.0","-1.9852532148361206"
"nevertheless it is clear       that such persons as the writer of these notes       not only may, but positively must, exist in our       society, when we consider the circumstances in       the midst of which our society is formed","1.0","1.2274785041809082"
"i have       tried to expose to the view of the public more       distinctly than is commonly done, one of the       characters of the recent past","0.0","-7.0918164253234863"
"he is one of the       representatives of a generation still living","1.0","7.0511274337768555"
"in this       fragment, entitled  underground,  this person       introduces himself and his views, and, as it were,       tries to explain the causes owing to which he has       made his appearance and was bound to make his       appearance in our midst","0.0","-1.5430310964584351"
"in the second fragment       there are added the actual notes of this person       concerning certain events in his life   author's note","0.0","-2.1953029632568359"
"i    i am a sick man","1.0","2.3437201976776123"
"i am a spiteful man","1.0","0.97260892391204834"
"i am an unattractive man","0.0","-0.87320613861083984"
"i  believe my liver is diseased","0.0","-0.22190827131271362"
"however, i know nothing at all about my  disease, and do not know for certain what ails me","1.0","1.3706607818603516"
"i don't consult a  doctor for it, and never have, though i have a respect for medicine and  doctors","1.0","2.4088242053985596"
"besides, i am extremely superstitious, sufficiently so to  respect medicine, anyway (i am well educated enough not to be  superstitious, but i am superstitious)","1.0","2.3066062927246094"
"no, i refuse to consult a  doctor from spite","0.0","-0.2603069543838501"
"that you probably will not understand","0.0","-0.83605033159255981"
"well, i  understand it, though","1.0","1.3935098648071289"
"of course, i can't explain who it is precisely  that i am mortifying in this case by my spite  i am perfectly well  aware that i cannot  pay out  the doctors by not consulting them  i  know better than anyone that by all this i am only injuring myself and  no one else","1.0","1.9801595211029053"
"but still, if i don't consult a doctor it is from spite","1.0","2.3173623085021973"
"my liver is bad, well  let it get worse!","0.0","-5.2462434768676758"
"i have been going on like that for a long time  twenty years","0.0","-0.51987248659133911"
"now i am  forty","0.0","-0.75865447521209717"
"i used to be in the government service, but am no longer","0.0","-0.0083898678421974182"
"i  was a spiteful official","0.0","-1.7814805507659912"
"i was rude and took pleasure in being so","1.0","1.4914795160293579"
"i  did not take bribes, you see, so i was bound to find a recompense in  that, at least","0.0","-2.0883221626281738"
"(a poor jest, but i will not scratch it out","0.0","-0.64199471473693848"
"i wrote  it thinking it would sound very witty  but now that i have seen myself  that i only wanted to show off in a despicable way, i will not scratch  it out on purpose!)","1.0","0.097383037209510803"
"when petitioners used to come for information to the table at which i  sat, i used to grind my teeth at them, and felt intense enjoyment when  i succeeded in making anybody unhappy","0.0","-0.78421127796173096"
