"Text","Binary_Sentiment","Cont_Sentiment"
"the wonderful wizard of oz          1","1.0","4.8090548515319824"
"the cyclone      dorothy lived in the midst of the great kansas prairies, with uncle  henry, who was a farmer, and aunt em, who was the farmer's wife","1.0","1.3995332717895508"
"their  house was small, for the lumber to build it had to be carried by wagon  many miles","0.0","-1.6383930444717407"
"there were four walls, a floor and a roof, which made one  room  and this room contained a rusty looking cookstove, a cupboard for  the dishes, a table, three or four chairs, and the beds","0.0","-0.39063912630081177"
"uncle henry  and aunt em had a big bed in one corner, and dorothy a little bed in  another corner","0.0","-0.43698301911354065"
"there was no garret at all, and no cellar  except a  small hole dug in the ground, called a cyclone cellar, where the family  could go in case one of those great whirlwinds arose, mighty enough to  crush any building in its path","0.0","-4.7544622421264648"
"it was reached by a trap door in the  middle of the floor, from which a ladder led down into the small, dark  hole","0.0","-0.43097913265228271"
"when dorothy stood in the doorway and looked around, she could see  nothing but the great gray prairie on every side","0.0","-2.4807462692260742"
"not a tree nor a  house broke the broad sweep of flat country that reached to the edge of  the sky in all directions","0.0","-8.1804323196411133"
"the sun had baked the plowed land into a  gray mass, with little cracks running through it","1.0","0.47888290882110596"
"even the grass was  not green, for the sun had burned the tops of the long blades until  they were the same gray color to be seen everywhere","0.0","-2.2089996337890625"
"once the house  had been painted, but the sun blistered the paint and the rains washed  it away, and now the house was as dull and gray as everything else","0.0","-5.3514375686645508"
"when aunt em came there to live she was a young, pretty wife","0.0","-2.2788217067718506"
"the sun  and wind had changed her, too","0.0","-7.1657943725585938"
"they had taken the sparkle from her  eyes and left them a sober gray  they had taken the red from her cheeks  and lips, and they were gray also","0.0","-2.0145523548126221"
"she was thin and gaunt, and never  smiled now","0.0","-2.587486743927002"
"when dorothy, who was an orphan, first came to her, aunt  em had been so startled by the child's laughter that she would scream  and press her hand upon her heart whenever dorothy's merry voice  reached her ears  and she still looked at the little girl with wonder  that she could find anything to laugh at","0.0","-0.73803794384002686"
"uncle henry never laughed","1.0","1.1600632667541504"
"he worked hard from morning till night and  did not know what joy was","0.0","-2.0403923988342285"
"he was gray also, from his long beard to  his rough boots, and he looked stern and solemn, and rarely spoke","0.0","-6.510528564453125"
"it was toto that made dorothy laugh, and saved her from growing as gray  as her other surroundings","1.0","0.16609793901443481"
"toto was not gray  he was a little black  dog, with long silky hair and small black eyes that twinkled merrily on  either side of his funny, wee nose","1.0","1.4464926719665527"
"toto played all day long, and  dorothy played with him, and loved him dearly","1.0","1.8245338201522827"
"today, however, they were not playing","0.0","-2.3410539627075195"
"uncle henry sat upon the  doorstep and looked anxiously at the sky, which was even grayer than  usual","0.0","-0.32342597842216492"
"dorothy stood in the door with toto in her arms, and looked at  the sky too","0.0","-2.0705623626708984"
"aunt em was washing the dishes","1.0","0.43031603097915649"
"from the far north they heard a low wail of the wind, and uncle henry  and dorothy could see where the long grass bowed in waves before the  coming storm","1.0","2.4190690517425537"
"there now came a sharp whistling in the air from the  south, and as they turned their eyes that way they saw ripples in the  grass coming from that direction also","1.0","3.140500545501709"
"suddenly uncle henry stood up","1.0","1.9113903045654297"
"there's a cyclone coming, em,  he called to his wife","1.0","2.2159128189086914"
"i'll go look  after the stock","1.0","0.64733946323394775"
"then he ran toward the sheds where the cows and  horses were kept","0.0","-3.8967471122741699"
"aunt em dropped her work and came to the door","1.0","2.4528436660766602"
"one glance told her of  the danger close at hand","0.0","-0.088583469390869141"
"quick, dorothy!","1.0","1.0338760614395142"
"she screamed","0.0","-0.10881910473108292"
"run for the cellar!","1.0","1.0371890068054199"
"toto jumped out of dorothy's arms and hid under the bed, and the girl  started to get him","1.0","3.4259738922119141"
"aunt em, badly frightened, threw open the trap  door in the floor and climbed down the ladder into the small, dark  hole","0.0","-1.5717208385467529"
"dorothy caught toto at last and started to follow her aunt","1.0","2.5981686115264893"
"when she was halfway across the room there came a great shriek from the  wind, and the house shook so hard that she lost her footing and sat  down suddenly upon the floor","0.0","-5.1804122924804688"
"then a strange thing happened","0.0","-3.7963976860046387"
"the house whirled around two or three times and rose slowly through the  air","1.0","1.0754525661468506"
"dorothy felt as if she were going up in a balloon","0.0","-1.860903263092041"
"the north and south winds met where the house stood, and made it the  exact center of the cyclone","0.0","-0.2304396778345108"
"in the middle of a cyclone the air is  generally still, but the great pressure of the wind on every side of  the house raised it up higher and higher, until it was at the very top  of the cyclone  and there it remained and was carried miles and miles  away as easily as you could carry a feather","1.0","1.3888362646102905"
"it was very dark, and the wind howled horribly around her, but dorothy  found she was riding quite easily","0.0","-2.7107858657836914"
