"Text","Binary_Sentiment","Cont_Sentiment"
"the wonderful wizard of oz          1","1.0","4.6667804718017578"
"the cyclone      dorothy lived in the midst of the great kansas prairies, with uncle  henry, who was a farmer, and aunt em, who was the farmer's wife","1.0","6.8645906448364258"
"their  house was small, for the lumber to build it had to be carried by wagon  many miles","0.0","-1.0825791358947754"
"there were four walls, a floor and a roof, which made one  room  and this room contained a rusty looking cookstove, a cupboard for  the dishes, a table, three or four chairs, and the beds","0.0","-4.4293880462646484"
"uncle henry  and aunt em had a big bed in one corner, and dorothy a little bed in  another corner","0.0","-7.4762258529663086"
"there was no garret at all, and no cellar  except a  small hole dug in the ground, called a cyclone cellar, where the family  could go in case one of those great whirlwinds arose, mighty enough to  crush any building in its path","0.0","-3.4020843505859375"
"it was reached by a trap door in the  middle of the floor, from which a ladder led down into the small, dark  hole","0.0","-5.5679926872253418"
"when dorothy stood in the doorway and looked around, she could see  nothing but the great gray prairie on every side","0.0","-4.0110492706298828"
"not a tree nor a  house broke the broad sweep of flat country that reached to the edge of  the sky in all directions","0.0","-8.0359764099121094"
"the sun had baked the plowed land into a  gray mass, with little cracks running through it","0.0","-2.6684775352478027"
"even the grass was  not green, for the sun had burned the tops of the long blades until  they were the same gray color to be seen everywhere","0.0","-3.4059958457946777"
"once the house  had been painted, but the sun blistered the paint and the rains washed  it away, and now the house was as dull and gray as everything else","0.0","-6.6122102737426758"
"when aunt em came there to live she was a young, pretty wife","0.0","-2.139782190322876"
"the sun  and wind had changed her, too","1.0","0.60786247253417969"
"they had taken the sparkle from her  eyes and left them a sober gray  they had taken the red from her cheeks  and lips, and they were gray also","0.0","-1.287102222442627"
"she was thin and gaunt, and never  smiled now","1.0","0.97695159912109375"
"when dorothy, who was an orphan, first came to her, aunt  em had been so startled by the child's laughter that she would scream  and press her hand upon her heart whenever dorothy's merry voice  reached her ears  and she still looked at the little girl with wonder  that she could find anything to laugh at","0.0","-2.0164623260498047"
"uncle henry never laughed","0.0","-7.066838264465332"
"he worked hard from morning till night and  did not know what joy was","0.0","-3.8144223690032959"
"he was gray also, from his long beard to  his rough boots, and he looked stern and solemn, and rarely spoke","0.0","-7.1023721694946289"
"it was toto that made dorothy laugh, and saved her from growing as gray  as her other surroundings","0.0","-3.842259407043457"
"toto was not gray  he was a little black  dog, with long silky hair and small black eyes that twinkled merrily on  either side of his funny, wee nose","0.0","-0.58039206266403198"
"toto played all day long, and  dorothy played with him, and loved him dearly","1.0","1.2761435508728027"
"today, however, they were not playing","0.0","-5.5024290084838867"
"uncle henry sat upon the  doorstep and looked anxiously at the sky, which was even grayer than  usual","0.0","-18.156253814697266"
"dorothy stood in the door with toto in her arms, and looked at  the sky too","0.0","-1.5848381519317627"
"aunt em was washing the dishes","1.0","3.6351594924926758"
"from the far north they heard a low wail of the wind, and uncle henry  and dorothy could see where the long grass bowed in waves before the  coming storm","1.0","6.0731563568115234"
"there now came a sharp whistling in the air from the  south, and as they turned their eyes that way they saw ripples in the  grass coming from that direction also","1.0","3.7416150569915771"
"suddenly uncle henry stood up","1.0","4.3256320953369141"
"there's a cyclone coming, em,  he called to his wife","1.0","5.58538818359375"
"i'll go look  after the stock","0.0","-1.0386917591094971"
"then he ran toward the sheds where the cows and  horses were kept","0.0","-6.7827882766723633"
"aunt em dropped her work and came to the door","1.0","3.2584569454193115"
"one glance told her of  the danger close at hand","0.0","-0.94049352407455444"
"quick, dorothy!","0.0","-1.7943580150604248"
"she screamed","1.0","2.9902358055114746"
"run for the cellar!","1.0","25.094814300537109"
"toto jumped out of dorothy's arms and hid under the bed, and the girl  started to get him","1.0","5.9901285171508789"
"aunt em, badly frightened, threw open the trap  door in the floor and climbed down the ladder into the small, dark  hole","1.0","0.46031183004379272"
