"Text","Binary_Sentiment","Cont_Sentiment"
"peter pan    chapter 1 peter breaks through    all children, except one, grow up","0.0","-1.8936102390289307"
"they soon know that they will grow  up, and the way wendy knew was this","1.0","1.5621384382247925"
"one day when she was two years old  she was playing in a garden, and she plucked another flower and ran with  it to her mother","1.0","4.1177787780761719"
"i suppose she must have looked rather delightful, for  mrs","0.0","-4.4022097587585449"
"darling put her hand to her heart and cried,  oh, why can't you  remain like this for ever!","0.0","-1.4542040824890137"
"this was all that passed between them on  the subject, but henceforth wendy knew that she must grow up","1.0","1.0258538722991943"
"you always  know after you are two","1.0","3.0595917701721191"
"two is the beginning of the end","1.0","0.77690589427947998"
"of course they lived at 14  their house number on their street , and  until wendy came her mother was the chief one","0.0","-0.63497573137283325"
"she was a lovely lady,  with a romantic mind and such a sweet mocking mouth","1.0","5.9553279876708984"
"her romantic  mind was like the tiny boxes, one within the other, that come from the  puzzling east, however many you discover there is always one more  and  her sweet mocking mouth had one kiss on it that wendy could never get,  though there it was, perfectly conspicuous in the right hand corner","1.0","1.7033576965332031"
"the way mr","1.0","1.1259372234344482"
"darling won her was this  the many gentlemen who had been  boys when she was a girl discovered simultaneously that they loved her,  and they all ran to her house to propose to her except mr","1.0","0.66266679763793945"
"darling, who  took a cab and nipped in first, and so he got her","1.0","3.2720279693603516"
"he got all of her,  except the innermost box and the kiss","0.0","-0.018621794879436493"
"he never knew about the box, and  in time he gave up trying for the kiss","0.0","-1.8019556999206543"
"wendy thought napoleon could  have got it, but i can picture him trying, and then going off in a  passion, slamming the door","1.0","2.1906881332397461"
"mr","0.0","-0.0057410448789596558"
"darling used to boast to wendy that her mother not only loved him  but respected him","1.0","0.2908967137336731"
"he was one of those deep ones who know about stocks  and shares","1.0","3.0237874984741211"
"of course no one really knows, but he quite seemed to know,  and he often said stocks were up and shares were down in a way that  would have made any woman respect him","0.0","-1.6220438480377197"
"mrs","0.0","-1.1416547298431396"
"darling was married in white, and at first she kept the books  perfectly, almost gleefully, as if it were a game, not so much as a  brussels sprout was missing  but by and by whole cauliflowers dropped  out, and instead of them there were pictures of babies without faces","0.0","-3.0674781799316406"
"she drew them when she should have been totting up","0.0","-2.7936279773712158"
"they were mrs","0.0","-3.3333730697631836"
"darling's guesses","1.0","0.89639770984649658"
"wendy came first, then john, then michael","0.0","-2.240227222442627"
"for a week or two after wendy came it was doubtful whether they would  be able to keep her, as she was another mouth to feed","0.0","-5.0078029632568359"
"mr","0.0","-0.0057410448789596558"
"darling was  frightfully proud of her, but he was very honourable, and he sat on the  edge of mrs","0.0","-0.68649005889892578"
"darling's bed, holding her hand and calculating expenses,  while she looked at him imploringly","0.0","-1.0783058404922485"
"she wanted to risk it, come what  might, but that was not his way  his way was with a pencil and a piece  of paper, and if she confused him with suggestions he had to begin at  the beginning again","0.0","-0.16312530636787415"
"now don't interrupt,  he would beg of her","0.0","-1.9378471374511719"
"i have one pound seventeen here, and two and six at the office  i can  cut off my coffee at the office, say ten shillings, making two nine  and six, with your eighteen and three makes three nine seven, with five  naught naught in my cheque book makes eight nine seven  who is that  moving?  eight nine seven, dot and carry seven  don't speak, my own  and  the pound you lent to that man who came to the door  quiet, child  dot  and carry child  there, you've done it!  did i say nine nine seven?","0.0","-0.055898666381835938"
"yes,  i said nine nine seven  the question is, can we try it for a year on  nine nine seven?","1.0","1.1166824102401733"
"of course we can, george,  she cried","1.0","0.68740606307983398"
"but she was prejudiced in wendy's  favour, and he was really the grander character of the two","0.0","-0.39060938358306885"
"remember mumps,  he warned her almost threateningly, and off he went  again","0.0","-1.4942654371261597"
"mumps one pound, that is what i have put down, but i daresay  it will be more like thirty shillings  don't speak  measles one five,  german measles half a guinea, makes two fifteen six  don't waggle your  finger  whooping cough, say fifteen shillings   and so on it went, and  it added up differently each time  but at last wendy just got through,  with mumps reduced to twelve six, and the two kinds of measles treated  as one","0.0","-3.7433385848999023"
"there was the same excitement over john, and michael had even a narrower  squeak  but both were kept, and soon, you might have seen the three of  them going in a row to miss fulsom's kindergarten school, accompanied by  their nurse","0.0","-3.7731599807739258"
"mrs","0.0","-1.1416547298431396"
"darling loved to have everything just so, and mr","0.0","-2.1451859474182129"
"darling had a  passion for being exactly like his neighbours  so, of course, they had  a nurse","0.0","-2.7602794170379639"
"as they were poor, owing to the amount of milk the children  drank, this nurse was a prim newfoundland dog, called nana, who had  belonged to no one in particular until the darlings engaged her","0.0","-3.6814305782318115"
"she had  always thought children important, however, and the darlings had become  acquainted with her in kensington gardens, where she spent most of her  spare time peeping into perambulators, and was much hated by careless  nursemaids, whom she followed to their homes and complained of to their  mistresses","0.0","-0.01126524806022644"
"she proved to be quite a treasure of a nurse","0.0","-2.4636101722717285"
"how thorough  she was at bath time, and up at any moment of the night if one of her  charges made the slightest cry","0.0","-3.3414394855499268"
"of course her kennel was in the nursery","0.0","-1.7661087512969971"
"she had a genius for knowing when a cough is a thing to have no patience  with and when it needs stocking around your throat","0.0","-0.1952107846736908"
"she believed to her  last day in old fashioned remedies like rhubarb leaf, and made sounds of  contempt over all this new fangled talk about germs, and so on","1.0","1.6889450550079346"
"it was a  lesson in propriety to see her escorting the children to school, walking  sedately by their side when they were well behaved, and butting them  back into line if they strayed","1.0","0.0070527493953704834"
"on john's footer  in england soccer  was called football,  footer  for short  days she never once forgot his  sweater, and she usually carried an umbrella in her mouth in case of  rain","0.0","-3.0000691413879395"
"there is a room in the basement of miss fulsom's school where the  nurses wait","0.0","-4.4786877632141113"
"they sat on forms, while nana lay on the floor, but that  was the only difference","0.0","-1.1836557388305664"
"they affected to ignore her as of an inferior  social status to themselves, and she despised their light talk","0.0","-1.5013182163238525"
"she  resented visits to the nursery from mrs","1.0","0.53110861778259277"
"darling's friends, but if they  did come she first whipped off michael's pinafore and put him into the  one with blue braiding, and smoothed out wendy and made a dash at john's  hair","0.0","-1.2537258863449097"
"no nursery could possibly have been conducted more correctly, and  mr","1.0","0.15750057995319366"
"darling knew it, yet he sometimes wondered uneasily whether the  neighbours talked","1.0","4.0386362075805664"
"he had his position in the city to consider","0.0","-0.89095842838287354"
"nana also troubled him in another way","1.0","0.19159983098506927"
"he had sometimes a feeling that  she did not admire him","0.0","-1.3540694713592529"
"i know she admires you tremendously, george,   mrs","0.0","-0.016968660056591034"
"darling would assure him, and then she would sign to the children  to be specially nice to father","1.0","0.85847294330596924"
