"Text","Binary_Sentiment","Cont_Sentiment"
"peter pan    chapter 1 peter breaks through    all children, except one, grow up","1.0","9.4392662048339844"
"they soon know that they will grow  up, and the way wendy knew was this","1.0","6.2297086715698242"
"one day when she was two years old  she was playing in a garden, and she plucked another flower and ran with  it to her mother","1.0","5.5836906433105469"
"i suppose she must have looked rather delightful, for  mrs","0.0","-8.7682323455810547"
"darling put her hand to her heart and cried,  oh, why can't you  remain like this for ever!","1.0","4.8378238677978516"
"this was all that passed between them on  the subject, but henceforth wendy knew that she must grow up","0.0","-0.14214193820953369"
"you always  know after you are two","1.0","1.4612026214599609"
"two is the beginning of the end","0.0","-1.3511471748352051"
"of course they lived at 14  their house number on their street , and  until wendy came her mother was the chief one","1.0","7.4367475509643555"
"she was a lovely lady,  with a romantic mind and such a sweet mocking mouth","1.0","4.1818943023681641"
"her romantic  mind was like the tiny boxes, one within the other, that come from the  puzzling east, however many you discover there is always one more  and  her sweet mocking mouth had one kiss on it that wendy could never get,  though there it was, perfectly conspicuous in the right hand corner","1.0","4.9217081069946289"
"the way mr","1.0","6.0710844993591309"
"darling won her was this  the many gentlemen who had been  boys when she was a girl discovered simultaneously that they loved her,  and they all ran to her house to propose to her except mr","0.0","-0.50712108612060547"
"darling, who  took a cab and nipped in first, and so he got her","1.0","5.0852208137512207"
"he got all of her,  except the innermost box and the kiss","1.0","4.9513249397277832"
"he never knew about the box, and  in time he gave up trying for the kiss","1.0","2.7718288898468018"
"wendy thought napoleon could  have got it, but i can picture him trying, and then going off in a  passion, slamming the door","1.0","1.0716812610626221"
"mr","0.0","-0.54906082153320312"
"darling used to boast to wendy that her mother not only loved him  but respected him","0.0","-0.18096756935119629"
"he was one of those deep ones who know about stocks  and shares","0.0","-0.930336594581604"
"of course no one really knows, but he quite seemed to know,  and he often said stocks were up and shares were down in a way that  would have made any woman respect him","1.0","4.1467800140380859"
"mrs","1.0","1.0455117225646973"
"darling was married in white, and at first she kept the books  perfectly, almost gleefully, as if it were a game, not so much as a  brussels sprout was missing  but by and by whole cauliflowers dropped  out, and instead of them there were pictures of babies without faces","0.0","-0.3134768009185791"
"she drew them when she should have been totting up","0.0","-6.8159089088439941"
"they were mrs","1.0","1.122992992401123"
"darling's guesses","1.0","4.7274885177612305"
"wendy came first, then john, then michael","0.0","-2.7760388851165771"
"for a week or two after wendy came it was doubtful whether they would  be able to keep her, as she was another mouth to feed","0.0","-3.1915311813354492"
"mr","0.0","-0.54906082153320312"
"darling was  frightfully proud of her, but he was very honourable, and he sat on the  edge of mrs","1.0","6.3537707328796387"
"darling's bed, holding her hand and calculating expenses,  while she looked at him imploringly","0.0","-1.7497293949127197"
"she wanted to risk it, come what  might, but that was not his way  his way was with a pencil and a piece  of paper, and if she confused him with suggestions he had to begin at  the beginning again","0.0","-1.0725934505462646"
"now don't interrupt,  he would beg of her","0.0","-0.90518617630004883"
"i have one pound seventeen here, and two and six at the office  i can  cut off my coffee at the office, say ten shillings, making two nine  and six, with your eighteen and three makes three nine seven, with five  naught naught in my cheque book makes eight nine seven  who is that  moving?  eight nine seven, dot and carry seven  don't speak, my own  and  the pound you lent to that man who came to the door  quiet, child  dot  and carry child  there, you've done it!  did i say nine nine seven?","0.0","-4.1549921035766602"
"yes,  i said nine nine seven  the question is, can we try it for a year on  nine nine seven?","1.0","5.1833591461181641"
"of course we can, george,  she cried","1.0","5.4098105430603027"
"but she was prejudiced in wendy's  favour, and he was really the grander character of the two","1.0","3.1131813526153564"
"remember mumps,  he warned her almost threateningly, and off he went  again","0.0","-3.3389711380004883"
"mumps one pound, that is what i have put down, but i daresay  it will be more like thirty shillings  don't speak  measles one five,  german measles half a guinea, makes two fifteen six  don't waggle your  finger  whooping cough, say fifteen shillings   and so on it went, and  it added up differently each time  but at last wendy just got through,  with mumps reduced to twelve six, and the two kinds of measles treated  as one","0.0","-2.233546257019043"
"there was the same excitement over john, and michael had even a narrower  squeak  but both were kept, and soon, you might have seen the three of  them going in a row to miss fulsom's kindergarten school, accompanied by  their nurse","0.0","-6.1541719436645508"
"mrs","1.0","1.0455117225646973"
"darling loved to have everything just so, and mr","0.0","-0.36475658416748047"
"darling had a  passion for being exactly like his neighbours  so, of course, they had  a nurse","0.0","-1.4732522964477539"
"as they were poor, owing to the amount of milk the children  drank, this nurse was a prim newfoundland dog, called nana, who had  belonged to no one in particular until the darlings engaged her","0.0","-7.1659135818481445"
