"Text","Binary_Sentiment","Cont_Sentiment"
"pride and prejudice    by jane austen        chapter 1      it is a truth universally acknowledged, that a single man in possession  of a good fortune, must be in want of a wife","0.0","-0.14036907255649567"
"however little known the feelings or views of such a man may be on his  first entering a neighbourhood, this truth is so well fixed in the minds  of the surrounding families, that he is considered the rightful property  of some one or other of their daughters","0.0","-1.6991229057312012"
"my dear mr  bennet,  said his lady to him one day,  have you heard that  netherfield park is let at last?","0.0","-0.64422386884689331"
"mr  bennet replied that he had not","0.0","-1.68849778175354"
"but it is,  returned she   for mrs  long has just been here, and she  told me all about it","0.0","-2.9779481887817383"
"mr  bennet made no answer","0.0","-6.787470817565918"
"do you not want to know who has taken it?","0.0","-0.65355122089385986"
"cried his wife impatiently","0.0","-0.8344537615776062"
"you  want to tell me, and i have no objection to hearing it","0.0","-1.6293423175811768"
"this was invitation enough","1.0","0.57309722900390625"
"why, my dear, you must know, mrs  long says that netherfield is taken  by a young man of large fortune from the north of england  that he came  down on monday in a chaise and four to see the place, and was so much  delighted with it, that he agreed with mr  morris immediately  that he  is to take possession before michaelmas, and some of his servants are to  be in the house by the end of next week","1.0","1.3642672300338745"
"what is his name?","0.0","-4.9869699478149414"
"bingley","1.0","0.024533458054065704"
"is he married or single?","0.0","-3.9833850860595703"
"oh!","0.0","-0.86778318881988525"
"single, my dear, to be sure!","0.0","-0.37442198395729065"
"a single man of large fortune  four or  five thousand a year","0.0","-3.9414899349212646"
"what a fine thing for our girls!","1.0","4.086949348449707"
"how so?","0.0","-3.7852911949157715"
"how can it affect them?","0.0","-2.2185897827148438"
"my dear mr  bennet,  replied his wife,  how can you be so tiresome!","0.0","-2.2327313423156738"
"you  must know that i am thinking of his marrying one of them","1.0","2.6711773872375488"
"is that his design in settling here?","0.0","-1.4678258895874023"
"design!","1.0","0.53858804702758789"
"nonsense, how can you talk so!","1.0","3.1507711410522461"
"but it is very likely that he   may  fall in love with one of them, and therefore you must visit him as  soon as he comes","1.0","1.7274923324584961"
"i see no occasion for that","1.0","3.302823543548584"
"you and the girls may go, or you may send  them by themselves, which perhaps will be still better, for as you are  as handsome as any of them, mr  bingley may like you the best of the  party","1.0","4.4955768585205078"
"my dear, you flatter me","0.0","-3.2855033874511719"
"i certainly  have  had my share of beauty, but  i do not pretend to be anything extraordinary now","1.0","2.7277266979217529"
"when a woman has five  grown up daughters, she ought to give over thinking of her own beauty","1.0","0.20264387130737305"
"in such cases, a woman has not often much beauty to think of","1.0","5.2382421493530273"
"but, my dear, you must indeed go and see mr  bingley when he comes into  the neighbourhood","1.0","2.1748085021972656"
"it is more than i engage for, i assure you","1.0","3.1744747161865234"
"but consider your daughters","0.0","-1.0285458564758301"
"only think what an establishment it would  be for one of them","1.0","2.0925254821777344"
"sir william and lady lucas are determined to  go, merely on that account, for in general, you know, they visit no  newcomers","1.0","2.1570863723754883"
"indeed you must go, for it will be impossible for  us  to  visit him if you do not","1.0","3.8597466945648193"
"you are over scrupulous, surely","1.0","0.3769780695438385"
"i dare say mr  bingley will be very  glad to see you  and i will send a few lines by you to assure him of my  hearty consent to his marrying whichever he chooses of the girls  though  i must throw in a good word for my little lizzy","1.0","0.69422364234924316"
"i desire you will do no such thing","0.0","-2.0578877925872803"
"lizzy is not a bit better than the  others  and i am sure she is not half so handsome as jane, nor half so  good humoured as lydia","0.0","-1.4776706695556641"
"but you are always giving  her  the preference","1.0","1.9954936504364014"
"they have none of them much to recommend them,  replied he   they are  all silly and ignorant like other girls  but lizzy has something more of  quickness than her sisters","1.0","0.19315029680728912"
"mr  bennet, how  can  you abuse your own children in such a way?","1.0","2.963618278503418"
"you  take delight in vexing me","0.0","-1.9651662111282349"
"you have no compassion for my poor nerves","0.0","-3.7865085601806641"
"you mistake me, my dear","0.0","-2.6504836082458496"
"i have a high respect for your nerves","1.0","4.2021732330322266"
"they  are my old friends","1.0","0.14040958881378174"
"i have heard you mention them with consideration  these last twenty years at least","1.0","4.6057252883911133"
"ah, you do not know what i suffer","0.0","-0.52096819877624512"
"but i hope you will get over it, and live to see many young men of four  thousand a year come into the neighbourhood","1.0","0.7884753942489624"
"it will be no use to us, if twenty such should come, since you will not  visit them","1.0","1.0015369653701782"
"depend upon it, my dear, that when there are twenty, i will visit them  all","1.0","0.99806320667266846"
"mr  bennet was so odd a mixture of quick parts, sarcastic humour,  reserve, and caprice, that the experience of three and twenty years had  been insufficient to make his wife understand his character","0.0","-1.4712172746658325"
"her  mind  was less difficult to develop","0.0","-4.327301025390625"
"she was a woman of mean understanding,  little information, and uncertain temper","0.0","-4.4368033409118652"
"when she was discontented,  she fancied herself nervous","0.0","-5.0534391403198242"
"the business of her life was to get her  daughters married  its solace was visiting and news","0.0","-0.78190946578979492"
"chapter 2      mr  bennet was among the earliest of those who waited on mr  bingley","1.0","2.7132911682128906"
"he  had always intended to visit him, though to the last always assuring  his wife that he should not go  and till the evening after the visit was  paid she had no knowledge of it","1.0","0.4544864296913147"
"it was then disclosed in the following  manner","0.0","-2.4135336875915527"
"observing his second daughter employed in trimming a hat, he  suddenly addressed her with      i hope mr  bingley will like it, lizzy","1.0","1.2037416696548462"
"we are not in a way to know  what  mr  bingley likes,  said her mother  resentfully,  since we are not to visit","1.0","3.0819916725158691"
"but you forget, mamma,  said elizabeth,  that we shall meet him at the  assemblies, and that mrs  long promised to introduce him","0.0","-3.9926242828369141"
"i do not believe mrs  long will do any such thing","0.0","-3.5032815933227539"
"she has two nieces  of her own","1.0","1.0642788410186768"
"she is a selfish, hypocritical woman, and i have no opinion  of her","0.0","-2.2219014167785645"
"no more have i,  said mr  bennet   and i am glad to find that you do  not depend on her serving you","0.0","-1.4718818664550781"
"mrs  bennet deigned not to make any reply, but, unable to contain  herself, began scolding one of her daughters","0.0","-3.9233098030090332"
"don't keep coughing so, kitty, for heaven's sake!","0.0","-0.51687341928482056"
"have a little  compassion on my nerves","0.0","-1.6899595260620117"
"you tear them to pieces","1.0","0.75596815347671509"
"kitty has no discretion in her coughs,  said her father   she times  them ill       i do not cough for my own amusement,  replied kitty fretfully","0.0","-6.2700662612915039"
"when is  your next ball to be, lizzy?","0.0","-1.6913790702819824"
"to morrow fortnight","1.0","0.32753050327301025"
"aye, so it is,  cried her mother,  and mrs  long does not come back  till the day before  so it will be impossible for her to introduce him,  for she will not know him herself","0.0","-2.3669404983520508"
"then, my dear, you may have the advantage of your friend, and introduce  mr  bingley to  her","1.0","1.0372524261474609"
"impossible, mr  bennet, impossible, when i am not acquainted with him  myself  how can you be so teasing?","1.0","0.99798345565795898"
"i honour your circumspection","1.0","1.4841940402984619"
"a fortnight's acquaintance is certainly  very little","1.0","0.12460662424564362"
"one cannot know what a man really is by the end of a  fortnight","1.0","1.3333981037139893"
"but if  we  do not venture somebody else will  and after all,  mrs  long and her neices must stand their chance  and, therefore, as  she will think it an act of kindness, if you decline the office, i will  take it on myself","1.0","0.90383684635162354"
"the girls stared at their father","1.0","1.6448523998260498"
"mrs  bennet said only,  nonsense,  nonsense!","0.0","-0.60739809274673462"
"what can be the meaning of that emphatic exclamation?","0.0","-4.3855657577514648"
"cried he","0.0","-0.30094081163406372"
"do  you consider the forms of introduction, and the stress that is laid on  them, as nonsense?","1.0","1.8064844608306885"
"i cannot quite agree with you  there","1.0","2.0007658004760742"
"what say you,  mary?","1.0","0.92654180526733398"
"for you are a young lady of deep reflection, i know, and read  great books and make extracts","1.0","6.239417552947998"
"mary wished to say something sensible, but knew not how","1.0","0.31092649698257446"
"while mary is adjusting her ideas,  he continued,  let us return to mr","1.0","1.406773567199707"
"bingley","1.0","0.024533458054065704"
"i am sick of mr  bingley,  cried his wife","1.0","2.4503984451293945"
"i am sorry to hear  that   but why did not you tell me that before?","0.0","-4.7670583724975586"
"if  i had known as much this morning i certainly would not have called  on him","0.0","-1.9760937690734863"
"it is very unlucky  but as i have actually paid the visit, we  cannot escape the acquaintance now","1.0","2.2601985931396484"
"the astonishment of the ladies was just what he wished  that of mrs   bennet perhaps surpassing the rest  though, when the first tumult of joy  was over, she began to declare that it was what she had expected all the  while","0.0","-1.1597225666046143"
"how good it was in you, my dear mr  bennet!","1.0","0.85203289985656738"
"but i knew i should  persuade you at last","1.0","2.5484378337860107"
"i was sure you loved your girls too well to  neglect such an acquaintance","1.0","3.6863954067230225"
"well, how pleased i am!","1.0","7.0042428970336914"
"and it is such a  good joke, too, that you should have gone this morning and never said a  word about it till now","0.0","-2.4483451843261719"
"now, kitty, you may cough as much as you choose,  said mr  bennet  and,  as he spoke, he left the room, fatigued with the raptures of his wife","0.0","-1.2607079744338989"
"what an excellent father you have, girls!","1.0","2.3413538932800293"
"said she, when the door was  shut","0.0","-1.8082890510559082"
"i do not know how you will ever make him amends for his kindness   or me, either, for that matter","1.0","1.6200354099273682"
"at our time of life it is not so  pleasant, i can tell you, to be making new acquaintances every day  but  for your sakes, we would do anything","1.0","2.0118825435638428"
"lydia, my love, though you  are   the youngest, i dare say mr  bingley will dance with you at the next  ball","1.0","2.2097945213317871"
"oh!","0.0","-0.86778318881988525"
"said lydia stoutly,  i am not afraid  for though i  am  the  youngest, i'm the tallest","1.0","2.8744659423828125"
"the rest of the evening was spent in conjecturing how soon he would  return mr  bennet's visit, and determining when they should ask him to  dinner","0.0","-3.9080052375793457"
"chapter 3      not all that mrs  bennet, however, with the assistance of her five  daughters, could ask on the subject, was sufficient to draw from her  husband any satisfactory description of mr  bingley","0.0","-1.8390282392501831"
"they attacked him  in various ways  with barefaced questions, ingenious suppositions, and  distant surmises  but he eluded the skill of them all, and they were at  last obliged to accept the second hand intelligence of their neighbour,  lady lucas","1.0","2.9782242774963379"
"her report was highly favourable","0.0","-0.75138646364212036"
"sir william had been  delighted with him","0.0","-4.7059378623962402"
"he was quite young, wonderfully handsome, extremely  agreeable, and, to crown the whole, he meant to be at the next assembly  with a large party","1.0","0.90848731994628906"
"nothing could be more delightful!","1.0","4.1475095748901367"
"to be fond of  dancing was a certain step towards falling in love  and very lively  hopes of mr  bingley's heart were entertained","1.0","1.3556497097015381"
"if i can but see one of my daughters happily settled at netherfield,   said mrs  bennet to her husband,  and all the others equally well  married, i shall have nothing to wish for","0.0","-1.4978244304656982"
"in a few days mr  bingley returned mr  bennet's visit, and sat about  ten minutes with him in his library","0.0","-0.4360051155090332"
"he had entertained hopes of being  admitted to a sight of the young ladies, of whose beauty he had  heard much  but he saw only the father","1.0","1.2131035327911377"
"the ladies were somewhat more  fortunate, for they had the advantage of ascertaining from an upper  window that he wore a blue coat, and rode a black horse","0.0","-3.1077589988708496"
"an invitation to dinner was soon afterwards dispatched  and already  had mrs  bennet planned the courses that were to do credit to her  housekeeping, when an answer arrived which deferred it all","0.0","-5.4959588050842285"
"mr  bingley  was obliged to be in town the following day, and, consequently, unable  to accept the honour of their invitation, etc","1.0","1.6107966899871826"
"mrs  bennet was quite  disconcerted","0.0","-2.0978019237518311"
"she could not imagine what business he could have in town  so soon after his arrival in hertfordshire  and she began to fear that  he might be always flying about from one place to another, and never  settled at netherfield as he ought to be","0.0","-2.0168237686157227"
"lady lucas quieted her fears  a little by starting the idea of his being gone to london only to get  a large party for the ball  and a report soon followed that mr  bingley  was to bring twelve ladies and seven gentlemen with him to the assembly","0.0","-1.0948665142059326"
"the girls grieved over such a number of ladies, but were comforted the  day before the ball by hearing, that instead of twelve he brought only  six with him from london  his five sisters and a cousin","0.0","-1.177303671836853"
"and when  the party entered the assembly room it consisted of only five  altogether  mr  bingley, his two sisters, the husband of the eldest, and  another young man","1.0","0.91225206851959229"
"mr  bingley was good looking and gentlemanlike  he had a pleasant  countenance, and easy, unaffected manners","1.0","2.8479399681091309"
"his sisters were fine women,  with an air of decided fashion","1.0","2.6602292060852051"
"his brother in law, mr  hurst, merely  looked the gentleman  but his friend mr  darcy soon drew the attention  of the room by his fine, tall person, handsome features, noble mien, and  the report which was in general circulation within five minutes  after his entrance, of his having ten thousand a year","0.0","-1.2311854362487793"
"the gentlemen  pronounced him to be a fine figure of a man, the ladies declared he  was much handsomer than mr  bingley, and he was looked at with great  admiration for about half the evening, till his manners gave a disgust  which turned the tide of his popularity  for he was discovered to be  proud  to be above his company, and above being pleased  and not all  his large estate in derbyshire could then save him from having a most  forbidding, disagreeable countenance, and being unworthy to be compared  with his friend","0.0","-2.5440330505371094"
"mr  bingley had soon made himself acquainted with all the principal  people in the room  he was lively and unreserved, danced every dance,  was angry that the ball closed so early, and talked of giving  one himself at netherfield","0.0","-0.42668116092681885"
"such amiable qualities must speak for  themselves","1.0","1.5404024124145508"
"what a contrast between him and his friend!","1.0","1.4651279449462891"
"mr  darcy danced  only once with mrs  hurst and once with miss bingley, declined being  introduced to any other lady, and spent the rest of the evening in  walking about the room, speaking occasionally to one of his own party","0.0","-1.571422815322876"
"his character was decided","0.0","-1.1960794925689697"
"he was the proudest, most disagreeable man  in the world, and everybody hoped that he would never come there again","1.0","0.76788794994354248"
"amongst the most violent against him was mrs  bennet, whose dislike of  his general behaviour was sharpened into particular resentment by his  having slighted one of her daughters","0.0","-2.1630656719207764"
"elizabeth bennet had been obliged, by the scarcity of gentlemen, to sit  down for two dances  and during part of that time, mr  darcy had been  standing near enough for her to hear a conversation between him and mr   bingley, who came from the dance for a few minutes, to press his friend  to join it","1.0","0.36121535301208496"
"come, darcy,  said he,  i must have you dance","1.0","2.8500151634216309"
"i hate to see you  standing about by yourself in this stupid manner","0.0","-3.6322317123413086"
"you had much better  dance","0.0","-1.3652901649475098"
"i certainly shall not","0.0","-4.3044528961181641"
"you know how i detest it, unless i am  particularly acquainted with my partner","0.0","-2.7054877281188965"
"at such an assembly as this  it would be insupportable","1.0","1.3800523281097412"
"your sisters are engaged, and there is not  another woman in the room whom it would not be a punishment to me to  stand up with","0.0","-3.1849856376647949"
"i would not be so fastidious as you are,  cried mr  bingley,  for a  kingdom!","1.0","0.93641209602355957"
"upon my honour, i never met with so many pleasant girls in  my life as i have this evening  and there are several of them you see  uncommonly pretty","1.0","1.549128532409668"
"you  are dancing with the only handsome girl in the room,  said mr   darcy, looking at the eldest miss bennet","0.0","-0.40762269496917725"
"oh!","0.0","-0.86778318881988525"
"she is the most beautiful creature i ever beheld!","1.0","8.3287668228149414"
"but there is one  of her sisters sitting down just behind you, who is very pretty, and i  dare say very agreeable","1.0","1.5844581127166748"
"do let me ask my partner to introduce you","0.0","-2.2762284278869629"
"which do you mean?","0.0","-3.3053498268127441"
