"Text","Binary_Sentiment","Cont_Sentiment"
"siddhartha    the son of the brahman    in the shade of the house, in the sunshine of the riverbank near the  boats, in the shade of the sal wood forest, in the shade of the fig tree  is where siddhartha grew up, the handsome son of the brahman, the young  falcon, together with his friend govinda, son of a brahman","1.0","0.1350133866071701"
"the sun  tanned his light shoulders by the banks of the river when bathing,  performing the sacred ablutions, the sacred offerings","0.0","-1.0008196830749512"
"in the mango  grove, shade poured into his black eyes, when playing as a boy, when  his mother sang, when the sacred offerings were made, when his father,  the scholar, taught him, when the wise men talked","1.0","1.3313155174255371"
"for a long time,  siddhartha had been partaking in the discussions of the wise men,  practising debate with govinda, practising with govinda the art of  reflection, the service of meditation","1.0","3.7825665473937988"
"he already knew how to speak the  om silently, the word of words, to speak it silently into himself while  inhaling, to speak it silently out of himself while exhaling, with all  the concentration of his soul, the forehead surrounded by the glow of  the clear thinking spirit","0.0","-1.0113410949707031"
"he already knew to feel atman in the depths  of his being, indestructible, one with the universe","0.0","-0.80567556619644165"
"joy leapt in his father's heart for his son who was quick to learn,  thirsty for knowledge  he saw him growing up to become great wise man  and priest, a prince among the brahmans","1.0","1.9863390922546387"
"bliss leapt in his mother's breast when she saw him, when she saw him  walking, when she saw him sit down and get up, siddhartha, strong,  handsome, he who was walking on slender legs, greeting her with perfect  respect","0.0","-2.6013815402984619"
"love touched the hearts of the brahmans' young daughters when  siddhartha walked through the lanes of the town with the luminous  forehead, with the eye of a king, with his slim hips","1.0","1.6714270114898682"
"but more than all the others he was loved by govinda, his friend, the  son of a brahman","1.0","2.1382012367248535"
"he loved siddhartha's eye and sweet voice, he loved  his walk and the perfect decency of his movements, he loved everything  siddhartha did and said and what he loved most was his spirit, his  transcendent, fiery thoughts, his ardent will, his high calling","1.0","4.0391111373901367"
"govinda knew  he would not become a common brahman, not a lazy official  in charge of offerings  not a greedy merchant with magic spells  not a  vain, vacuous speaker  not a mean, deceitful priest  and also not a  decent, stupid sheep in the herd of the many","0.0","-2.131739616394043"
"no, and he, govinda, as  well did not want to become one of those, not one of those tens of  thousands of brahmans","1.0","2.4533133506774902"
"he wanted to follow siddhartha, the beloved,  the splendid","1.0","4.7914490699768066"
"and in days to come, when siddhartha would become a god,  when he would join the glorious, then govinda wanted to follow him as  his friend, his companion, his servant, his spear carrier, his shadow","0.0","-0.57583653926849365"
"siddhartha was thus loved by everyone","1.0","3.6054513454437256"
"he was a source of joy for  everybody, he was a delight for them all","1.0","1.4626314640045166"
"but he, siddhartha, was not a source of joy for himself, he found no  delight in himself","0.0","-1.0709662437438965"
"walking the rosy paths of the fig tree garden,  sitting in the bluish shade of the grove of contemplation, washing his  limbs daily in the bath of repentance, sacrificing in the dim shade of  the mango forest, his gestures of perfect decency, everyone's love and  joy, he still lacked all joy in his heart","1.0","1.8728129863739014"
"dreams and restless thoughts  came into his mind, flowing from the water of the river, sparkling from  the stars of the night, melting from the beams of the sun, dreams came  to him and a restlessness of the soul, fuming from the sacrifices,  breathing forth from the verses of the rig veda, being infused into him,  drop by drop, from the teachings of the old brahmans","0.0","-0.37496757507324219"
"siddhartha had started to nurse discontent in himself, he had started  to feel that the love of his father and the love of his mother, and also  the love of his friend, govinda, would not bring him joy for ever and  ever, would not nurse him, feed him, satisfy him","0.0","-0.80408912897109985"
"he had started to  suspect that his venerable father and his other teachers, that the wise  brahmans had already revealed to him the most and best of their wisdom,  that they had already filled his expecting vessel with their richness,  and the vessel was not full, the spirit was not content, the soul was  not calm, the heart was not satisfied","0.0","-2.3581271171569824"
"the ablutions were good, but  they were water, they did not wash off the sin, they did not heal the  spirit's thirst, they did not relieve the fear in his heart","1.0","3.2794709205627441"
"the  sacrifices and the invocation of the gods were excellent  but was that  all?","0.0","-2.792576789855957"
"did the sacrifices give a happy fortune?","0.0","-3.8925764560699463"
"and what about the gods?","0.0","-1.046583890914917"
"was it really prajapati who had created the world?","0.0","-0.88498163223266602"
"was it not the  atman, he, the only one, the singular one?","0.0","-2.7913064956665039"
"were the gods not creations,  created like me and you, subject to time, mortal?","0.0","-2.0211868286132812"
"was it therefore  good, was it right, was it meaningful and the highest occupation to make  offerings to the gods?","1.0","0.46883738040924072"
"for whom else were offerings to be made, who  else was to be worshipped but him, the only one, the atman?","0.0","-3.6064577102661133"
"and where  was atman to be found, where did he reside, where did his eternal heart  beat, where else but in one's own self, in its innermost part, in its  indestructible part, which everyone had in himself?","0.0","-1.5509693622589111"
"but where, where  was this self, this innermost part, this ultimate part?","0.0","-1.2113004922866821"
"it was not  flesh and bone, it was neither thought nor consciousness, thus the  wisest ones taught","0.0","-3.1850876808166504"
"so, where, where was it?","0.0","-4.9698991775512695"
