"ACTION","REWARD","A0","A1","A2","A3","V"
"0","0.0","0.252616","-0.122601","0.00120119","-0.0972267","2.31562"
"2","0.0","0.0887193","0.113315","0.178765","-0.0580414","1.67157"
"1","0.0","0.015191","0.0809321","0.0881939","0.0688737","1.58554"
"0","0.0","0.11283","0.0981199","0.0753032","0.0892807","1.59273"
"0","0.0","0.104603","0.0924833","0.080927","0.0958316","1.61165"
"0","0.0","0.0953585","0.0877883","0.0868859","0.0938285","1.64118"
"1","0.0","0.081066","0.0851802","0.0838536","0.0879428","1.6704"
"1","0.0","0.0631811","0.0757551","0.0709266","0.0755512","1.71332"
"1","0.0","0.0463437","0.0652409","0.0603598","0.0655677","1.71421"
"0","0.0","0.0348012","0.048833","0.0417222","0.0535463","1.75266"
"1","0.0","0.0289726","0.0490384","0.0321113","0.0502673","1.78086"
"1","0.0","0.0179274","0.0406718","0.0249397","0.0433085","1.79818"
"1","0.0","0.0132521","0.0395516","0.0181778","0.0475139","1.81533"
"3","0.0","0.00975663","0.0348009","0.0084548","0.043793","1.83568"
"3","0.0","0.00626388","0.0300167","-0.00284592","0.0459186","1.83283"
"3","0.0","0.00681749","0.0361111","-0.0011685","0.0512961","1.8649"
"2","0.0","0.00677765","0.034443","-0.000176838","0.0429169","1.85947"
"1","0.0","0.0116001","0.0322981","0.00672427","0.0301313","1.87523"
"1","0.0","0.0145996","0.0334331","0.00475154","0.0233261","1.87765"
"1","0.0","0.029196","0.0477391","0.0285234","0.0339425","1.85525"
"1","0.0","0.0368327","0.0667493","0.0553309","0.0541624","1.86125"
"1","0.0","0.0694075","0.0948116","0.0705469","0.0721539","1.87706"
"1","0.0","0.056492","0.0906275","0.0864785","0.0878056","1.90441"
"3","0.0","0.0582081","0.0916125","0.0850948","0.0887195","1.90481"
"3","0.0","0.0473925","0.0693453","0.0737942","0.0783168","1.95166"
"2","0.0","0.0302644","0.0503183","0.0595649","0.0590901","1.98422"
"2","0.0","-1.78773e-05","0.0253178","0.0300461","0.024964","2.0499"
"2","0.0","-0.0314361","-0.00850382","-0.00519564","-0.00185341","2.13317"
"1","0.0","-0.0370899","0.00918149","-0.0108468","-0.00292252","2.16842"
"1","0.0","-0.0298642","0.0206953","-0.00335715","0.000394866","2.20355"
"1","0.0","-0.00377803","0.0392281","0.015076","0.0164138","2.22745"
"1","0.0","0.0156509","0.0560306","0.0318214","0.0288269","2.22389"
"1","0.0","0.0225623","0.0484157","0.0360973","0.0289185","2.19073"
"1","0.0","0.0353286","0.0430514","0.0369822","0.0354289","2.23687"
"1","0.0","0.0425952","0.0452259","0.0398709","0.0377656","2.25938"
"1","0.0","0.0599845","0.0570643","0.0579694","0.0561994","2.30025"
"1","0.0","0.0849708","0.0830996","0.0819946","0.0804923","2.36146"
"3","0.0","0.135822","0.130703","0.128542","0.126688","2.3983"
"0","0.0","0.225052","0.220131","0.220201","0.223019","2.41621"
"3","0.0","0.327907","0.330929","0.346135","0.371083","2.45761"
"3","1.0","0.362481","0.357172","0.407115","0.422289","2.55144"
"3","0.0","0.293617","0.298253","0.313352","0.361002","1.59043"
"3","0.0","0.162097","0.144462","0.150799","0.177108","1.56377"
"3","0.0","0.086917","0.0792612","0.0808083","0.111383","1.51607"
"1","0.0","0.0933052","0.0919808","0.0748178","0.0885802","1.58808"
"1","0.0","0.102128","0.110047","0.0841583","0.0917504","1.60736"
"1","0.0","0.101709","0.110334","0.0822161","0.104223","1.64555"
"1","0.0","0.0856964","0.0965497","0.0711584","0.0937421","1.6246"
"1","0.0","0.0568803","0.0651335","0.0552799","0.0746274","1.67013"
"2","0.0","0.0338288","0.0450457","0.0436708","0.0521107","1.71402"
"3","0.0","0.0218277","0.0312856","0.0314898","0.0349711","1.73276"
"2","0.0","0.00460259","0.027749","0.0161476","0.0231121","1.77039"
"2","0.0","-0.00333503","0.0208491","0.00898797","0.0133612","1.80144"
"2","0.0","-0.0102675","0.0164179","0.0185036","0.00577815","1.82149"
"2","0.0","-0.0154149","0.0125807","0.0103215","0.00356802","1.86881"
"2","0.0","-0.01412","0.0175902","0.00821582","0.00601364","1.88968"
"3","0.0","-0.0130455","0.0141632","0.0125777","-0.00315263","1.94044"
"2","0.0","-0.00696124","0.00733401","0.027858","-0.0104412","1.8999"
"2","0.0","0.0131598","0.00587787","0.0258777","-0.00222507","1.93484"
"0","0.0","0.0442267","0.0256961","0.0047905","0.0091596","1.88497"
"0","0.0","0.0378209","0.0224176","0.00614786","0.0334107","1.85742"
"0","0.0","0.010634","0.0349126","0.013801","0.0772442","1.81468"
"3","0.0","0.000791721","0.0215487","-0.00416502","0.0714139","1.91654"
"2","0.0","-0.00124549","0.0238213","-0.0177488","0.04603","1.94568"
"3","0.0","-0.0269662","0.00133783","-0.0261346","0.0148072","2.01725"
"3","0.0","-0.040509","-0.0189392","-0.04007","-0.0105576","2.0184"
"3","0.0","-0.0558865","-0.038104","-0.0490865","-0.0296578","2.05098"
"0","0.0","-0.0673616","-0.0570399","-0.0491683","-0.0522133","2.07427"
"2","0.0","-0.0658538","-0.0639231","-0.0462114","-0.0583678","2.11937"
"2","0.0","-0.060983","-0.0322895","-0.0399158","-0.0439367","2.18486"
"1","0.0","-0.0383001","-0.00439283","-0.0191794","-0.0164735","2.1954"
"0","0.0","-0.0245164","0.0184021","4.15012e-05","0.00337214","2.18325"
"1","0.0","-0.00666094","0.0280333","0.0122465","0.0157077","2.16818"
"1","0.0","0.011716","0.0411082","0.0231195","0.0283243","2.19449"
"1","0.0","0.0215819","0.0447607","0.0342412","0.0360539","2.18186"
"1","0.0","0.0285603","0.0553131","0.0479491","0.0448009","2.14109"
"2","0.0","0.037832","0.0531998","0.0604593","0.0514111","2.16476"
"2","0.0","0.0427685","0.0569669","0.068706","0.0593149","2.18776"
"2","0.0","0.0443628","0.0518684","0.0695782","0.0632937","2.2318"
"2","0.0","0.0459592","0.0513636","0.0685492","0.0654088","2.21485"
"2","0.0","0.0509065","0.0533254","0.0718271","0.0684636","2.21794"
"2","0.0","0.0486943","0.0614815","0.0742326","0.0689422","2.23075"
"3","0.0","0.0784822","0.072909","0.089114","0.0966309","2.25095"
"3","0.0","0.083311","0.0834043","0.0957125","0.105015","2.27416"
"2","0.0","0.0864364","0.0953108","0.108746","0.112434","2.24713"
"2","0.0","0.129069","0.108281","0.128739","0.132859","2.30622"
"0","0.0","0.167583","0.143026","0.153859","0.166242","2.37026"
"3","0.0","0.21647","0.18564","0.195173","0.22255","2.33887"
"3","0.0","0.298621","0.268847","0.278668","0.312933","2.43907"
"3","0.0","0.415859","0.390703","0.400486","0.445547","2.39852"
"3","0.0","0.412052","0.389323","0.388337","0.44236","2.39598"
"0","1.0","0.379114","0.335555","0.33196","0.38578","2.27428"
"3","0.0","0.243731","0.263435","0.273782","0.358738","1.50572"
"0","0.0","0.236056","0.229214","0.238173","0.277544","1.48536"
"0","0.0","0.245364","0.231613","0.230219","0.236119","1.54085"
"2","0.0","0.171773","0.158124","0.153244","0.158537","1.54028"
"3","0.0","0.128251","0.112318","0.109537","0.113703","1.53065"
"3","0.0","0.0840971","0.0930044","0.0837518","0.0986138","1.57846"
"1","0.0","0.088554","0.108021","0.090448","0.0987986","1.62694"
"1","0.0","0.0886437","0.108428","0.0927675","0.102884","1.6281"
"2","0.0","0.0853195","0.10964","0.0912073","0.102458","1.64957"
"1","0.0","0.0836153","0.105782","0.0899861","0.0964736","1.68176"
"1","0.0","0.0704189","0.0984893","0.0791541","0.0899457","1.69117"
"1","0.0","0.0522661","0.0785344","0.0586969","0.0680589","1.72393"
"1","0.0","0.0369861","0.0602456","0.0409643","0.0492262","1.7305"
"1","0.0","0.0269798","0.0426772","0.0292767","0.0325439","1.72876"
"1","0.0","0.0140843","0.021929","0.0142179","0.0151364","1.74638"
"2","0.0","0.00593733","0.00700198","0.0114675","0.00609163","1.72476"
"2","0.0","0.00150091","-2.65563e-05","0.00894454","0.000964944","1.7238"
"2","0.0","-0.000425017","0.00276157","0.0140075","0.0102422","1.71358"
"1","0.0","-0.00434926","0.0116007","-0.00443703","0.00605097","1.6893"
"1","0.0","-0.01785","0.00558671","-0.0260866","-0.00530151","1.70816"
"1","0.0","-0.0286004","0.0016945","-0.0452237","-0.00855877","1.69712"
"3","0.0","-0.0262335","-0.00207494","-0.0451166","-0.00382841","1.68296"
"3","0.0","-0.0189945","-0.00186865","-0.021077","0.00126374","1.6528"
"2","0.0","-0.0130884","0.000462812","-0.00793623","-0.00985746","1.64965"
"2","0.0","-0.0115917","-0.00331848","-0.00842135","-0.0169449","1.69685"
"0","0.0","-0.0146972","-0.00876401","-0.0171324","-0.0312124","1.76632"
"3","0.0","-0.00569862","-0.0025019","-0.0214894","-0.0332418","1.82678"
"2","0.0","-0.00648446","-0.00446924","0.0146011","-0.0343109","1.84688"
"2","0.0","-0.0137506","-0.0174378","0.00136483","-0.0460846","1.94414"
"3","0.0","-0.0104722","-0.0194791","-0.0686489","0.00404547","2.00976"
"3","0.0","-0.0610799","-0.0548189","-0.06573","0.0501518","1.81746"
"2","0.0","0.0128967","0.056724","-0.0367921","0.00260929","1.62098"
"3","0.0","-0.104993","-0.0931233","-0.0338709","-0.00662455","1.99081"
"3","0.0","-0.0593905","-0.0726544","-0.0850483","-0.0151138","2.01332"
"3","0.0","-0.0314398","-0.0130834","-0.0607411","-0.0179477","1.96573"
"1","0.0","-0.0147536","0.00808055","-0.0167734","-0.0170685","1.91407"
"2","0.0","-0.0298527","-0.00449128","-0.0113152","-0.0274631","1.97516"
"2","0.0","-0.0574337","-0.0503721","-0.0478742","-0.0614417","2.06408"
"2","0.0","-0.0746803","-0.0674461","-0.0704339","-0.0726302","2.07855"
"3","0.0","-0.0850489","-0.0741175","-0.0839084","-0.0693713","2.08341"
"2","0.0","-0.0914783","-0.0819159","-0.079079","-0.0700899","2.07114"
"2","0.0","-0.084878","-0.07825","-0.0704954","-0.0696402","2.09397"
"2","0.0","-0.0753742","-0.0640921","-0.0649964","-0.0616587","2.10561"
"2","0.0","-0.0593443","-0.0447204","-0.0483143","-0.0452706","2.1236"
"2","0.0","-0.0389156","-0.0233716","-0.0344518","-0.0269389","2.13512"
"3","0.0","-0.0129832","0.000392095","-0.0137406","-0.00128095","2.22554"
"3","0.0","0.00398535","0.0198413","0.00441656","0.0215932","2.24099"
"3","0.0","0.0169382","0.0254186","0.0191395","0.0330852","2.27287"
"2","0.0","0.027051","0.0280619","0.0317729","0.0372032","2.28671"
"2","0.0","0.0272286","0.0336111","0.0450579","0.0433487","2.20934"
"2","0.0","0.0272692","0.0294348","0.0479653","0.0449936","2.20565"
"2","0.0","0.0364195","0.028861","0.0558112","0.0451842","2.24317"
"2","0.0","0.0378328","0.0256201","0.0570707","0.0423575","2.22087"
"0","0.0","0.0423158","0.0286094","0.0587439","0.0459717","2.20641"
"2","0.0","0.0527545","0.0394854","0.0615997","0.0564913","2.16117"
"2","0.0","0.0575636","0.0528336","0.0659351","0.0620497","2.1932"
"3","0.0","-0.0391244","0.157472","0.0704699","0.0722743","2.02608"
"0","0.0","0.139528","0.0936064","0.136958","0.128246","2.07913"
"2","0.0","0.113007","0.10583","0.123723","0.121833","2.13674"
"0","0.0","0.139909","0.11628","0.134693","0.130983","2.1786"
"0","0.0","0.171166","0.147233","0.158887","0.158625","2.30053"
"0","0.0","0.183747","0.157852","0.170453","0.178545","2.20048"
"0","0.0","0.28014","0.248802","0.263273","0.281299","2.35202"
"0","0.0","0.371068","0.332031","0.344447","0.358026","2.3409"
"0","0.0","0.427788","0.389201","0.403475","0.420679","2.32937"
"0","0.0","0.347956","0.289334","0.306611","0.336334","2.03769"
"2","0.0","0.115692","0.0810385","0.160022","0.190643","1.66663"
"0","1.0","0.13542","0.0582928","0.0913871","0.0992276","1.67009"
"3","0.0","0.067937","0.15547","0.101225","0.170746","1.3864"
"3","0.0","0.129453","0.163444","0.141682","0.19778","1.55877"
"3","0.0","0.205503","0.198876","0.20102","0.235187","1.63676"
"3","0.0","0.183668","0.164353","0.17106","0.200338","1.58883"
"0","0.0","0.149083","0.124977","0.135315","0.143322","1.54157"
"3","0.0","0.0825474","0.0756199","0.0854617","0.109423","1.5413"
"2","0.0","0.0612093","0.0768062","0.0687417","0.0881521","1.64935"
"3","0.0","0.0499706","0.0599906","0.0538196","0.0678683","1.66572"
"1","0.0","0.0491462","0.0611306","0.053977","0.0634753","1.67631"
"1","0.0","0.0501827","0.0670652","0.0542367","0.0644603","1.68118"
"2","0.0","0.0515783","0.0619472","0.0505553","0.0555912","1.66546"
"2","0.0","0.0420217","0.0506048","0.0440024","0.0505943","1.66678"
"2","0.0","0.030772","0.037171","0.0331361","0.0370178","1.6584"
"2","0.0","0.0137578","0.0224874","0.0244049","0.0323624","1.6713"
"2","0.0","0.00992976","0.00911256","0.0101915","0.0108842","1.69911"
"2","0.0","0.0037903","0.00176199","0.000101371","0.00521436","1.71545"
"1","0.0","-0.0100323","0.0041465","-0.0101766","0.000948948","1.7236"
"1","0.0","-0.027306","0.00137365","-0.031115","-0.0137799","1.75015"
"2","0.0","-0.0403027","-0.00253881","-0.0428087","-0.0204516","1.7152"
"1","0.0","-0.0351643","-0.0113766","-0.0314454","-0.0127535","1.6821"
"3","0.0","-0.0312273","-0.00857302","-0.0322659","-0.00661902","1.68561"
"1","0.0","-0.0298845","0.00349164","-0.0365389","-0.0148504","1.66431"
"0","0.0","-0.0246116","-0.0246689","-0.0363774","-0.0258396","1.70193"
"3","0.0","-0.0262274","-0.0309576","-0.0398219","-0.0315994","1.72398"
"0","0.0","-0.0210454","-0.0308317","-0.0427595","-0.0273422","1.80002"
"0","0.0","-0.024313","-0.0291235","-0.0413536","-0.028281","1.88455"
"3","0.0","-0.0339998","-0.0331615","-0.0547253","-0.00640651","1.68282"
"3","0.0","-0.0668057","-0.0523949","-0.0929175","0.0174151","1.76545"
"3","0.0","-0.0260544","-0.0467292","-0.111183","0.00933474","2.06785"
"3","0.0","-0.0294103","-0.0416588","-0.1117","-0.00328094","1.97693"
"0","0.0","-0.00543438","-0.00322264","-0.0395441","-0.0247893","1.92643"
"1","0.0","0.0526244","0.0734698","0.00239599","0.0530249","1.72242"
"2","0.0","-0.0719067","-0.0310575","0.0180342","0.0270747","1.69973"
"2","0.0","-0.0474229","-0.0643866","-0.0225084","-0.0386271","2.01756"
"0","0.0","-0.0151471","-0.0287902","-0.077601","-0.0365483","2.00313"
"1","0.0","-0.0716889","-0.0435375","-0.087683","-0.0514476","2.07223"
"1","0.0","-0.0941447","-0.0576159","-0.102597","-0.0768826","2.09345"
"1","0.0","-0.0985223","-0.0562842","-0.0969515","-0.0737113","2.12748"
"2","0.0","-0.0915089","-0.0766552","-0.0858331","-0.0807851","2.24808"
"1","0.0","-0.0879813","-0.0582174","-0.0758863","-0.0731976","2.26934"
"1","0.0","-0.0483785","-0.0310915","-0.0486482","-0.0459675","2.32791"
"1","0.0","-0.0267073","-0.00207621","-0.0286781","-0.0191777","2.30967"
"1","0.0","-0.00677813","0.00867474","-0.00916381","0.000279447","2.33094"
"3","0.0","0.0130596","0.0238683","0.00826195","0.0163165","2.38007"
"1","0.0","0.0160808","0.0237631","0.014887","0.0265899","2.38968"
"3","0.0","0.0169542","0.0149268","0.0162104","0.0294082","2.44176"
"3","0.0","0.0378926","0.0326249","0.0301273","0.0461198","2.48569"
"3","0.0","0.0499161","0.0534428","0.04194","0.0579504","2.57299"
"3","0.0","0.165773","0.218538","0.183696","0.249042","2.63032"
"3","1.0","0.204849","0.250811","0.259458","0.266083","2.6355"
"2","0.0","0.10969","0.116916","0.156867","0.118583","1.76159"
"0","0.0","-0.00356347","-0.037609","-0.00920271","0.0229344","1.37218"
"3","0.0","0.0150663","0.00457171","-0.00479902","0.0322222","1.51335"
"0","0.0","0.0376969","0.0301133","0.0154926","0.0352272","1.66626"
"0","0.0","0.0369728","0.0362446","0.017712","0.0315012","1.7101"
"1","0.0","0.0232514","0.0324621","0.0221992","0.0223676","1.70683"
"2","0.0","0.00782337","0.0183478","0.0158331","0.0150176","1.76713"
"2","0.0","0.00462184","0.0187589","0.0150416","0.0091003","1.77996"
"2","0.0","0.003179","0.0210917","0.0155639","0.00546712","1.77461"
"2","0.0","-0.000962285","0.0218703","0.0117237","0.00659649","1.86363"
"2","0.0","-0.00779349","0.0150636","0.01052","0.00519281","1.91604"
"2","0.0","-0.013043","0.012596","-0.000425109","0.00144833","1.94646"
"3","0.0","-0.0150714","0.0120454","-0.0196151","0.00876925","1.91977"
"3","0.0","-0.017181","0.00763228","-0.0311097","0.0128585","1.95185"
"1","0.0","-0.00581137","0.0251571","-0.00980132","-0.00889744","1.93617"
"1","0.0","0.00956546","0.0355288","0.0024549","-0.00846339","2.00339"
"2","0.0","-0.0157822","-0.0063396","-0.0157252","-0.0286388","1.99689"
"1","0.0","-0.0447255","-0.0303912","-0.0534584","-0.0421945","2.04884"
"3","0.0","-0.0790809","-0.0524677","-0.0808467","-0.0488541","2.14257"
"1","0.0","-0.0638357","-0.0349893","-0.0573472","-0.0429541","2.22943"
"1","0.0","-0.0320729","-0.00062789","-0.0233649","-0.0160684","2.37515"
"1","0.0","0.00319825","0.0427453","0.00327704","0.0132377","2.4362"
"1","0.0","0.035046","0.0601319","0.0301493","0.0375972","2.47422"
"1","0.0","0.0459189","0.0661393","0.0481855","0.0523128","2.41189"
"1","0.0","0.044321","0.0562288","0.0444506","0.0541133","2.44824"
"3","0.0","0.041173","0.0397966","0.0358155","0.0483457","2.45143"
"3","0.0","0.0458163","0.0398922","0.042244","0.0542482","2.39196"
"0","0.0","0.0746846","0.0653993","0.0627529","0.0761061","2.41273"
"1","0.0","0.126528","0.127695","0.104715","0.134199","2.4397"
"3","1.0","0.272232","0.272498","0.251529","0.291762","2.43554"
"3","0.0","0.176332","0.197038","0.207594","0.23969","1.60581"
"3","0.0","0.0548616","0.0624462","0.0593921","0.116232","1.48187"
"3","0.0","0.0392112","0.0540861","0.0378211","0.0935322","1.53514"
"3","0.0","0.0311619","0.0570072","0.0296445","0.0811322","1.64928"
"2","0.0","0.041595","0.0685421","0.0410621","0.0658961","1.66668"
"1","0.0","0.0352743","0.0595353","0.0375211","0.0512237","1.6604"
"1","0.0","0.0173904","0.0486798","0.0226658","0.0366158","1.71333"
"1","0.0","0.00740907","0.0357791","0.015363","0.0231758","1.81826"
"1","0.0","-0.00306213","0.0337141","0.0158388","0.0124635","1.79172"
"2","0.0","-0.0155721","0.0271444","0.0115006","0.0084366","1.86335"
"2","0.0","-0.0255164","0.0122648","-2.57591e-05","-0.0010617","1.90177"
"2","0.0","-0.0251726","0.0071751","0.0260927","-0.0138868","1.8005"
"2","0.0","-0.00904133","0.0298323","0.0766385","-0.030224","1.89696"
"2","0.0","0.0153754","0.0321537","0.0904562","-0.0294114","1.92572"
"0","0.0","0.0202994","0.0185685","-0.00895769","0.0204825","2.07526"
"0","0.0","0.00903276","0.0103285","-0.078129","0.0222956","2.09879"
"3","0.0","-0.0605327","-0.0356539","-0.0888204","-0.0213253","2.13523"
"3","0.0","-0.0980151","-0.0517805","-0.0882377","-0.0495717","2.20905"
"3","0.0","-0.104968","-0.0671874","-0.0785431","-0.0748169","2.33594"
"2","0.0","-0.0857292","-0.0518907","-0.0608648","-0.0707997","2.35002"
"2","0.0","-0.0502844","-0.0199825","-0.0337767","-0.0345094","2.34591"
"1","0.0","-0.00496502","0.0164515","-0.00421425","9.39223e-05","2.36712"
"1","0.0","0.024335","0.0309872","0.016667","0.021702","2.42838"
"1","0.0","0.0255714","0.0313563","0.0180318","0.02658","2.37667"
"2","0.0","0.0162658","0.0199453","0.00993162","0.0153906","2.41808"
"3","0.0","0.0165236","0.0130862","0.0107164","0.0168373","2.52282"
"3","0.0","0.0117948","0.0111433","0.00885141","0.0148038","2.49018"
"3","0.0","0.0167224","0.0233171","0.0170463","0.0249208","2.64445"
"1","0.0","0.0302366","0.0626562","0.0376019","0.0543299","2.7377"
"1","0.0","0.0879854","0.168455","0.142452","0.170354","2.91886"
"2","1.0","0.0944381","0.155597","0.21784","0.0188854","2.73208"
"2","0.0","-0.104577","0.0485057","0.144305","0.0932961","1.45416"
"3","0.0","-0.0646344","0.0246597","0.0548218","0.110649","1.64891"
"3","0.0","-0.0697665","-0.0394562","-0.0271447","0.0110278","1.48338"
"3","0.0","-0.0684379","-0.0572954","-0.0485455","-0.0200046","1.61556"
"0","0.0","-0.0467718","-0.0490696","-0.0336047","-0.00376773","1.63074"
"0","0.0","-0.0223468","-0.0278943","-0.0147763","0.00390589","1.63599"
"3","0.0","-0.0104281","-0.00966796","-0.0057975","0.0150941","1.63281"
"2","0.0","-0.0160948","-0.00212925","-0.0158184","0.00802807","1.70261"
"2","0.0","-0.0369417","-0.0097338","-0.0326568","-0.00307994","1.73761"
"3","0.0","-0.0504671","-0.0111951","-0.0453595","-0.0111074","1.7315"
"3","0.0","-0.05024","-0.00994691","-0.0419207","-0.00556101","1.74055"
"1","0.0","-0.0497722","-0.00578468","-0.0302193","-0.0177696","1.73156"
"2","0.0","-0.0469431","-0.0131035","-0.0237526","-0.0262729","1.74346"
"3","0.0","-0.0459764","-0.00537082","-0.0366436","-0.024319","1.6548"
"2","0.0","-0.0371504","-0.022745","-0.0131587","-0.0257588","1.64553"
"2","0.0","-0.0333714","0.0188533","0.0707628","-0.0155634","1.61261"
"2","0.0","-0.0146562","0.0360021","0.0870317","0.00838644","1.58731"
"3","0.0","-0.0501464","0.00661303","0.0208811","-0.00638461","1.48181"
"2","0.0","-0.110501","-0.0640904","-0.0554171","-0.0353597","1.4879"
"2","0.0","-0.131497","-0.114602","-0.128912","-0.0880243","1.59887"
"1","0.0","-0.116128","-0.0856983","-0.139375","-0.097045","1.59449"
"3","0.0","-0.108696","-0.0561393","-0.125192","-0.0805421","1.53152"
"2","0.0","-0.112192","-0.052559","-0.119287","-0.0753572","1.52119"
"1","0.0","-0.114391","-0.0554675","-0.117983","-0.0784668","1.52004"
"1","0.0","-0.032034","-0.0271445","-0.0545986","-0.0307854","1.60109"
"1","0.0","-0.0313211","-0.0298311","-0.0476771","-0.0284603","1.61924"
"2","0.0","-0.037998","-0.0366458","-0.0419066","-0.0290682","1.65234"
"2","0.0","-0.0431858","-0.0344919","-0.0354922","-0.0235331","1.68559"
"2","0.0","-0.0361272","-0.0208776","-0.0215639","-0.0135936","1.6895"
"2","0.0","-0.0432341","-0.0132407","-0.0197012","-0.00689455","1.74817"
"2","0.0","-0.0395902","-0.00967649","-0.0109333","-0.00938133","1.75458"
"2","0.0","-0.0396278","-0.00919546","-0.00425056","-0.0087883","1.77869"
"2","0.0","-0.0299724","-0.00386212","-0.0105261","-0.00425022","1.85051"
"1","0.0","-0.0298381","0.00296035","-0.0107837","0.000222366","1.87313"
"3","0.0","-0.0300834","0.00179755","-0.0180075","0.0062891","1.89611"
"3","0.0","-0.0300225","0.00423509","-0.0173655","0.0134841","1.87998"
"3","0.0","-0.0295583","0.0012738","-0.02251","0.0120621","1.89454"
"3","0.0","-0.031992","-0.00336748","-0.0320032","0.00632463","1.9098"
"3","0.0","-0.0410424","0.00137343","-0.0421962","0.0117833","1.91188"
"3","0.0","-0.0433677","0.000915901","-0.0487175","0.0210772","2.00974"
"3","0.0","-0.0502753","-0.00774298","-0.0600077","0.0213814","1.9854"
"3","0.0","-0.0474614","-0.00955444","-0.0617679","0.0105938","1.99961"
"3","0.0","-0.0490569","-0.0102102","-0.0721486","-0.00619864","2.02632"
"2","0.0","-0.0389296","-0.00888534","-0.0284659","-0.0651394","2.05191"
"2","0.0","-0.0382636","-0.00581393","0.0140695","-0.0854527","2.00218"
"2","0.0","-0.0383212","-0.00431558","-0.0191112","-0.0692709","2.02263"
"3","0.0","-0.0498627","-0.0123139","-0.0605553","0.0725664","1.8422"
"3","0.0","-0.0113416","0.0356366","0.00879107","0.0904153","1.67315"
"3","0.0","0.0188938","0.0367265","0.00512491","0.0540284","1.58663"
"0","0.0","-0.0208228","-0.0378786","-0.0505929","-0.00680501","1.52492"
"0","0.0","-0.0530417","-0.0545187","-0.0805151","-0.0373123","1.50745"
"3","0.0","-0.0851252","-0.0625322","-0.0881846","-0.0442211","1.52351"
"1","0.0","-0.0897276","-0.0647437","-0.092956","-0.0618708","1.55694"
"1","0.0","-0.0770648","-0.0510702","-0.0900262","-0.0657444","1.58128"
"1","0.0","-0.0771179","-0.0476056","-0.0843003","-0.065968","1.59216"
"1","0.0","-0.0758112","-0.0468145","-0.0803406","-0.0672706","1.6021"
"1","0.0","-0.0728626","-0.0465868","-0.0775037","-0.0686205","1.61404"
"0","0.0","-0.0141144","-0.00813487","-0.0319533","-0.0272247","1.6283"
"1","0.0","-0.00994724","-0.00378923","-0.017023","-0.0149687","1.71401"
"2","0.0","-0.000239569","0.0102633","0.000720792","0.000929987","1.74337"
"2","0.0","0.00297388","0.0167127","0.0123678","0.013843","1.75947"
"2","0.0","-9.69336e-05","0.0184939","0.0141613","0.0189482","1.78111"
"2","0.0","0.00273036","0.0208435","0.0178546","0.0236279","1.79604"
"0","0.0","-0.00229223","0.0273613","0.0121299","0.0305645","1.84177"
"3","0.0","-0.011261","0.0232795","0.0071826","0.026711","1.877"
"1","0.0","-0.0166198","0.0166203","0.0033707","0.0179865","1.93384"
"1","0.0","-0.0244946","0.0161201","-0.00516848","0.0179028","1.99456"
"3","0.0","-0.0271408","0.0081883","-0.0115859","0.0138577","1.9785"
"3","0.0","-0.0268154","0.00575495","-0.0116158","0.0128935","1.96472"
"3","0.0","-0.0350889","0.00580756","-0.0158993","0.0257264","1.94326"
"3","0.0","-0.0268347","0.00562292","-0.0193546","0.0136909","1.97815"
"1","0.0","-0.019765","0.0115386","-0.0148474","-0.00312845","1.97727"
"1","0.0","-0.0191136","0.000402569","-0.0146783","-0.0180147","2.01933"
"2","0.0","-0.0158874","0.00132053","-0.0136285","-0.00955828","2.01895"
"3","0.0","-0.026404","-0.00906439","-0.0279942","0.00369314","2.01451"
"3","0.0","-0.0500623","-0.0269236","-0.0485718","0.0324067","1.94943"
"3","0.0","-0.059865","-0.0431585","-0.071469","0.0239563","2.03875"
"3","0.0","-0.0648355","-0.0458029","-0.0774833","-0.0284419","2.08855"
"3","0.0","-0.0661402","-0.054094","-0.0785393","-0.0323597","2.11005"
"3","0.0","-0.0702515","-0.0549198","-0.0876026","-0.0400097","2.14298"
"3","0.0","-0.0763639","-0.0693935","-0.0897319","-0.0437203","2.16457"
"2","0.0","-0.0914062","-0.0729702","-0.102689","-0.065625","2.17926"
"1","0.0","-0.0222492","0.107109","-0.0487995","0.00830759","2.16426"
"3","0.0","-0.0481713","-0.0769038","-0.0743143","-0.0196477","2.2587"
"3","0.0","-0.0633662","-0.0409377","-0.0842159","-0.0375759","2.23465"
